long,racial_group,index,unclear,correct
"i am a [unclear]mechanic[/unclear] i work on trucks and cars i like that and that is what is in me, i am a mortar man now but i don't want to be one i want to be a [unclear]mechanic[/unclear] and work on cars and truck",black,165,[unclear]mechanic[/unclear],mechanic
in regard to question 58; i have noticed that the white troops of the second branch of service as the negro have better equipment. to elaborate on no 4 i would like to say that the boys from the white medical [unclear]lletachments[/unclear] get a chance to work around the hospital and get practical experience but none of our boys get a chance although both white and colored are cared for in the same wards. in regard to question 57 i really believe the negro is doing more than his share,black,175,[unclear]lletachments[/unclear],detachments
"i don't think that a negro should be given more freedom in one section of the united states, [unclear]than[/unclear] he is in another. referencing mostly to the south.",black,181,[unclear]than[/unclear],than
the white off dont [unclear]treat[/unclear] the colored off right all so [unclear]they wasn't[/unclear] men and [unclear]treat right[/unclear] i was in white [unclear]p s could get wart [/unclear] one stay there a  how them made fun of me i am a soldier like them,black,191,[unclear]treat[/unclear],treat
the white off dont [unclear]treat[/unclear] the colored off right all so [unclear]they wasn't[/unclear] men and [unclear]treat right[/unclear] i was in white [unclear]p s could get wart [/unclear] one stay there a  how them made fun of me i am a soldier like them,black,191,[unclear]they wasn't[/unclear],they wasn't
the white off dont [unclear]treat[/unclear] the colored off right all so [unclear]they wasn't[/unclear] men and [unclear]treat right[/unclear] i was in white [unclear]p s could get wart [/unclear] one stay there a  how them made fun of me i am a soldier like them,black,191,[unclear]treat right[/unclear],treat right
the white off dont [unclear]treat[/unclear] the colored off right all so [unclear]they wasn't[/unclear] men and [unclear]treat right[/unclear] i was in white [unclear]p s could get wart [/unclear] one stay there a  how them made fun of me i am a soldier like them,black,191,[unclear]p s could get wart [/unclear],
"were they asked me would i like to go to another camp yes because my mother is sickly and cant get around. very much and i would like to be transferred to a closer camp in this fort you beg . lid off is transferred and won't get it bad the with fellows can go up to cmd. officer and asked for one and get it, we can't if we were given the same opportunity as the whites was we would be able to fight and think nothing of it, but as it is now we are thinking why fight because were being jim crowed and cant go every place the lights go. i want to get out of the army i could [unclear]go[/unclear] better in [unclear]civil m. [/unclear] life [unclear]li***[/unclear] going in other war plant lightning chat was",black,226,[unclear]go[/unclear],go
"were they asked me would i like to go to another camp yes because my mother is sickly and cant get around. very much and i would like to be transferred to a closer camp in this fort you beg . lid off is transferred and won't get it bad the with fellows can go up to cmd. officer and asked for one and get it, we can't if we were given the same opportunity as the whites was we would be able to fight and think nothing of it, but as it is now we are thinking why fight because were being jim crowed and cant go every place the lights go. i want to get out of the army i could [unclear]go[/unclear] better in [unclear]civil m. [/unclear] life [unclear]li***[/unclear] going in other war plant lightning chat was",black,226,[unclear]civil m. [/unclear],
"were they asked me would i like to go to another camp yes because my mother is sickly and cant get around. very much and i would like to be transferred to a closer camp in this fort you beg . lid off is transferred and won't get it bad the with fellows can go up to cmd. officer and asked for one and get it, we can't if we were given the same opportunity as the whites was we would be able to fight and think nothing of it, but as it is now we are thinking why fight because were being jim crowed and cant go every place the lights go. i want to get out of the army i could [unclear]go[/unclear] better in [unclear]civil m. [/unclear] life [unclear]li***[/unclear] going in other war plant lightning chat was",black,226,[unclear]li***[/unclear],
there is a lot of things wrong with the way they treat a colored soldier in the army. they don't have no places to go. ever thing is [unclear]tern cross for fear[/unclear] but the white soldiers can go any place. im saying this to try and get + have a better place for us boys to go wher we give off but we fair trying to get back to say sweet little girl. she means more to me than thier army. things will never change for us.,black,228,[unclear]tern cross for fear[/unclear],
the army as a whole is fairly good for this and  for one personal [unclear]sadness[/unclear] use and the other is very poor. i would like  to help my country in defence work much better . but otherwise where i am now & am satisfied very much much with my work and my comrades. such advancement is very very slow. thank you ,black,236,[unclear]sadness[/unclear],sadness
"i've been in the army 2 yrs. and almost 3 mo. and i'm sure i can be doing a better job than i am now. but i want to get out and into defense work where i'm more fitted to work my fingers to the bone for our sake -- ""the u.s.a."". and the reason for this opinion is obvious. i'd be better off! and i'd be doing my part as a citizen of these united states. there must be some privates in the army, but why me after countless thousands have come in after i and i volunteered of course because i like the army and i can teach them as well as some people they have made non-coms? i'm no mad man for money. but it is a bare necessity in the u.s.a. and i naturally want as much of it as possible to coordinate the other [unclear]meacities[/unclear] .",black,244,[unclear]meacities[/unclear],
"i don't think much of army life, it is [unclear]awful[/unclear] poor. colored soldiers   are usually  segregated on trains  as we have to [unclear]leave[/unclear] all southern state officers and only a few northern states. why do they put us out here in this [unclear]desert[/unclear] and don't put the [unclear]white[/unclear] out here?",black,253,[unclear]awful[/unclear],awful
"i don't think much of army life, it is [unclear]awful[/unclear] poor. colored soldiers   are usually  segregated on trains  as we have to [unclear]leave[/unclear] all southern state officers and only a few northern states. why do they put us out here in this [unclear]desert[/unclear] and don't put the [unclear]white[/unclear] out here?",black,253,[unclear]leave[/unclear],leave
"i don't think much of army life, it is [unclear]awful[/unclear] poor. colored soldiers   are usually  segregated on trains  as we have to [unclear]leave[/unclear] all southern state officers and only a few northern states. why do they put us out here in this [unclear]desert[/unclear] and don't put the [unclear]white[/unclear] out here?",black,253,[unclear]desert[/unclear],desert
"i don't think much of army life, it is [unclear]awful[/unclear] poor. colored soldiers   are usually  segregated on trains  as we have to [unclear]leave[/unclear] all southern state officers and only a few northern states. why do they put us out here in this [unclear]desert[/unclear] and don't put the [unclear]white[/unclear] out here?",black,253,[unclear]white[/unclear],white
and [unclear]reace[/unclear] would like to get in the [unclear]north [/unclear] i was basse tehre and i understan [unclear]rerere[/unclear] better then i did in the south. and i would hold any them am my cast i [unclear]cacl [/unclear] get it off and i would like to get in the north very much,black,265,[unclear]reace[/unclear],race
and [unclear]reace[/unclear] would like to get in the [unclear]north [/unclear] i was basse tehre and i understan [unclear]rerere[/unclear] better then i did in the south. and i would hold any them am my cast i [unclear]cacl [/unclear] get it off and i would like to get in the north very much,black,265,[unclear]north [/unclear],north
and [unclear]reace[/unclear] would like to get in the [unclear]north [/unclear] i was basse tehre and i understan [unclear]rerere[/unclear] better then i did in the south. and i would hold any them am my cast i [unclear]cacl [/unclear] get it off and i would like to get in the north very much,black,265,[unclear]rerere[/unclear],
and [unclear]reace[/unclear] would like to get in the [unclear]north [/unclear] i was basse tehre and i understan [unclear]rerere[/unclear] better then i did in the south. and i would hold any them am my cast i [unclear]cacl [/unclear] get it off and i would like to get in the north very much,black,265,[unclear]cacl [/unclear],
"1. some thing should be done about how the soldiers or treated (colord) in the south 2. the colord officers dont have a chance to advance 3. their should be more colord commanders in the (div) most of the white officers or not fair to the colord 4. i heard one of the majors say he did'nt like a neger, becaus a neger kild his dad. he should be in a white [unclear]camps[/unclear] 5. how can the colord be any better after the war whe they cant get a (des) job know 6. the colord would love to fight if they had [unclear](eoc)[/unclear] wrights 7. a colord soldier is not given credit for what he do [unclear](lac)[/unclear] to the white",black,267,[unclear]camps[/unclear],camps
"1. some thing should be done about how the soldiers or treated (colord) in the south 2. the colord officers dont have a chance to advance 3. their should be more colord commanders in the (div) most of the white officers or not fair to the colord 4. i heard one of the majors say he did'nt like a neger, becaus a neger kild his dad. he should be in a white [unclear]camps[/unclear] 5. how can the colord be any better after the war whe they cant get a (des) job know 6. the colord would love to fight if they had [unclear](eoc)[/unclear] wrights 7. a colord soldier is not given credit for what he do [unclear](lac)[/unclear] to the white",black,267,[unclear](eoc)[/unclear],
"1. some thing should be done about how the soldiers or treated (colord) in the south 2. the colord officers dont have a chance to advance 3. their should be more colord commanders in the (div) most of the white officers or not fair to the colord 4. i heard one of the majors say he did'nt like a neger, becaus a neger kild his dad. he should be in a white [unclear]camps[/unclear] 5. how can the colord be any better after the war whe they cant get a (des) job know 6. the colord would love to fight if they had [unclear](eoc)[/unclear] wrights 7. a colord soldier is not given credit for what he do [unclear](lac)[/unclear] to the white",black,267,[unclear](lac)[/unclear],
same times is verry hard when yau came aff a thirty miles [unclear]hike[/unclear] and yaur feets ar hurting. you go to the dactar and he gives yau a small bax of arspin to take. when ever you get ready to go some place yau have to get a pass and mast af the time they want give you and. after saldering hard frame manday marning until satureday noan.  this is the reason i saw that negro shauld get a fair chance after the war is aver. the negroes aut hear go aut in the mauntain and sleep in the snaw and rain try to get ready far the battle he try to make things [unclear]easy[/unclear] far the peaples in civilans better far them.,black,270,[unclear]hike[/unclear],hike
same times is verry hard when yau came aff a thirty miles [unclear]hike[/unclear] and yaur feets ar hurting. you go to the dactar and he gives yau a small bax of arspin to take. when ever you get ready to go some place yau have to get a pass and mast af the time they want give you and. after saldering hard frame manday marning until satureday noan.  this is the reason i saw that negro shauld get a fair chance after the war is aver. the negroes aut hear go aut in the mauntain and sleep in the snaw and rain try to get ready far the battle he try to make things [unclear]easy[/unclear] far the peaples in civilans better far them.,black,270,[unclear]easy[/unclear],easy
just the fact it  the most of the white people in the [unclear] war [/unclear] don't seem to want us in the war. or they that is the  they   for any part i that every one of those kind of people could be sent over the  and made to fight for their life. and i also  i could get a bunch of them and have whip them until they could not stand up. the each  are not even worth talking about or even writing about,black,282,[unclear] war [/unclear],war
i think that after this war this country should be a better place for every one to live. i also think the negro should have more [unclear]pricler[/unclear] after the war and a better chance to make a living if we cant get these things what good will this fight will have done.,black,292,[unclear]pricler[/unclear],
the following questionnaire were very good. i wish i could tell just who i am and just what they and people out here are good for they one [unclear]every[/unclear] chicken shit don't no what it is to give you a [unclear]bash[/unclear]. i hope soon this war will be over then i may get a chance to see some of them where we can start up another war. this one will be a race war. i hope who will read this will be a white southern. all of the northern are way good to the soldiers. this will be seen from a bad soldier. (smile),black,294,[unclear]every[/unclear],
the following questionnaire were very good. i wish i could tell just who i am and just what they and people out here are good for they one [unclear]every[/unclear] chicken shit don't no what it is to give you a [unclear]bash[/unclear]. i hope soon this war will be over then i may get a chance to see some of them where we can start up another war. this one will be a race war. i hope who will read this will be a white southern. all of the northern are way good to the soldiers. this will be seen from a bad soldier. (smile),black,294,[unclear]bash[/unclear],
"after being promised my release after 1 year of service i was kept and many soldiers release who hadn't had seven months of training just because they were 28 or over. ill [i'll] always feel that i was dealt with unjustly  i would have been  to return after pearl harbor.  this army  business in the  if the government can't protect her soldiers no matter what color how do [does] she expect them to want to protect her. stop civilian cops from mistreating colored soldiers in the south.  going south soon if  molested in anyway there will be  and plenty. why isnt [isn't] there more paper to write on? in an isolated camp as mine any is there such a thing as bed check? most   on weekend alone and 10,  soldiers heading for a town that can afford recreation of only 50. something should be done. why isn't home built around here for enlisted men and there [their] families? the only women around here aren't fit society for the japs and germans. for an all colored post it's pretty lightly colored. [unclear]see [/unclear]decent house belong to civilians why can't soldiers own them? why?i'm expecting combat duty soon this country had better make her promise good or we'll have another war within two years but with all her faults i love her.",black,301,[unclear]see [/unclear],
there isn't much to comment upon only the [unclear]practiced[/unclear] hatred in the camps and public conveyances toward the negro these are the main questions we are confronted with right at this present time. it might be state laws to discriminate but it should be discontinued in our army camps.,black,302,[unclear]practiced[/unclear],practiced
this is reason why i want to  [unclear]wont[/unclear] work,black,317,[unclear]wont[/unclear],
i have no comments about [unclear]bio[/unclear] questionnaire but i hope it will do so good,black,335,[unclear]bio[/unclear],
i think this is a very good test for the army to no what the boy in the [unclear]al[/unclear] done and how they are treating,black,344,[unclear]al[/unclear],
i think this a very good questionnaire book because it gives us as negros to express our feeling about this war. in my mind i see that we are going to win this war. we have a great nation one that have all ways stood tops among other nations & all ways will we have the strength but there are something we have to curb & that is that feeling one toward a nother as the two races work together in winning this war. after the war [unclear]louge[/unclear] or should believe that the to races will be more loving and mould their great nation in to a more greater nation than befor.,black,370,[unclear]louge[/unclear],
i myself perfect [unclear]so the[/unclear] by there are something the negro should have a right to do as a army for as a white [unclear]rose[/unclear] for shoseld. all camp together it will make the negro [unclear]ace[/unclear] field that they have a right to fight. but as it is now as a megro just as soon serve under one jim crow are another the govement could treat you any cause the white people have. the office here think as a negro should take of this else and put them to bed and serve them in the bed. you think we as a negro field like to give our life for the [unclear]brook[/unclear] of future that nice have here i do not field that i should.,black,385,[unclear]so the[/unclear],
i myself perfect [unclear]so the[/unclear] by there are something the negro should have a right to do as a army for as a white [unclear]rose[/unclear] for shoseld. all camp together it will make the negro [unclear]ace[/unclear] field that they have a right to fight. but as it is now as a megro just as soon serve under one jim crow are another the govement could treat you any cause the white people have. the office here think as a negro should take of this else and put them to bed and serve them in the bed. you think we as a negro field like to give our life for the [unclear]brook[/unclear] of future that nice have here i do not field that i should.,black,385,[unclear]rose[/unclear],
i myself perfect [unclear]so the[/unclear] by there are something the negro should have a right to do as a army for as a white [unclear]rose[/unclear] for shoseld. all camp together it will make the negro [unclear]ace[/unclear] field that they have a right to fight. but as it is now as a megro just as soon serve under one jim crow are another the govement could treat you any cause the white people have. the office here think as a negro should take of this else and put them to bed and serve them in the bed. you think we as a negro field like to give our life for the [unclear]brook[/unclear] of future that nice have here i do not field that i should.,black,385,[unclear]ace[/unclear],
i myself perfect [unclear]so the[/unclear] by there are something the negro should have a right to do as a army for as a white [unclear]rose[/unclear] for shoseld. all camp together it will make the negro [unclear]ace[/unclear] field that they have a right to fight. but as it is now as a megro just as soon serve under one jim crow are another the govement could treat you any cause the white people have. the office here think as a negro should take of this else and put them to bed and serve them in the bed. you think we as a negro field like to give our life for the [unclear]brook[/unclear] of future that nice have here i do not field that i should.,black,385,[unclear]brook[/unclear],
"with reference to question (12) in the south its tirrible a negro soldier when he gets a furlough he has to hope that there aren't many whites going his war or he doesn't ride the bus. same way about every thing owned and operated by white people. if i were a commissioned officer, any station in the world would [unclear]s.....e[/unclear] (thank you)",black,407,[unclear]s.....e[/unclear],
we are fighting the same war so why. no [unclear]soldier[/unclear] together. as one [unclear]nation[/unclear] until we learn to do so we will for ever  be .,black,409,[unclear]soldier[/unclear],soldier
we are fighting the same war so why. no [unclear]soldier[/unclear] together. as one [unclear]nation[/unclear] until we learn to do so we will for ever  be .,black,409,[unclear]nation[/unclear],nation
"see q.27. when i first came into the army i had high hopes but then i had been any farther south than 119th st. in chicago. see q32 i should like to say [unclear]soldiers[/unclear] but with nothing at stake that the answer see q44 if the government did the right thing i would be much better off. see q47. for everyone but the negro  there are a few things that i would like say. i'm a young negro and i have all the hopes of every american citizen. and when i think of the way the united states government is alowing negro's to be lynched and treated all over this country i can only say that i have little if any thing to fight for. would you (whoever you are) fight for the right to sit on the back of a bus, to eat in the back of a restrante, to get the worse of the jobs and the right to see pictures of your people hanging from trees [unclear]an[/unclear] being drug naked behind trucks for things that they said he or she done. the war dept special service division. research branch could very well by reading some of the latest reports on the negro's condition in america could fill there out without questioning the indivals. while i appricate the chanch to speak my peace this only brings home to me the fact that i'm living in a country where i'l subjicated suppressed and yet the powers that be without any feeling of guilt have the ironical nerve to draft these down troten peoples into the army to fight for the four freedoms abroad when they don't have them at home (the us) and very little chanch to get them soon. on this cost there are buildings plainly marked white and if my memory is correct there is a war dept order against it.",black,414,[unclear]soldiers[/unclear],soldiers
"see q.27. when i first came into the army i had high hopes but then i had been any farther south than 119th st. in chicago. see q32 i should like to say [unclear]soldiers[/unclear] but with nothing at stake that the answer see q44 if the government did the right thing i would be much better off. see q47. for everyone but the negro  there are a few things that i would like say. i'm a young negro and i have all the hopes of every american citizen. and when i think of the way the united states government is alowing negro's to be lynched and treated all over this country i can only say that i have little if any thing to fight for. would you (whoever you are) fight for the right to sit on the back of a bus, to eat in the back of a restrante, to get the worse of the jobs and the right to see pictures of your people hanging from trees [unclear]an[/unclear] being drug naked behind trucks for things that they said he or she done. the war dept special service division. research branch could very well by reading some of the latest reports on the negro's condition in america could fill there out without questioning the indivals. while i appricate the chanch to speak my peace this only brings home to me the fact that i'm living in a country where i'l subjicated suppressed and yet the powers that be without any feeling of guilt have the ironical nerve to draft these down troten peoples into the army to fight for the four freedoms abroad when they don't have them at home (the us) and very little chanch to get them soon. on this cost there are buildings plainly marked white and if my memory is correct there is a war dept order against it.",black,414,[unclear]an[/unclear],and
"as a negro i would like [unclear]to live [/unclear] in the north, i would like the army better.",black,432,[unclear]to live [/unclear],to live
"i am a citizen my people  texas to help pave the highway and build busses and [unclear]traines[/unclear] and for the up keep of the u.s. there are poor white people that does not pay as much as my people but because he is white he have the privilege to choose the best seats on the train and busses regardless to how dusty or how poor he is (it is a shame). put your self in the negro place and just think for a minute. if you are a negro with $90,000,000,000.00 and a poor white man with one (1) cent he is given more privilege then you a negro may kill 90,000,000,000 japs and a white man betray his because he is white he is more than the negro when it come to equal rights",black,435,[unclear]traines[/unclear],trains
i think the president is doing a wonderful part for all the citsen of the united state to do their part. i hope and trust that the united state will win this war. in every [unclear]prgess?[/unclear] the soldiers of the united state are doing their part.,black,437,[unclear]prgess?[/unclear],
"in general the questionnaire is o.k. but i am different from most people i don't agree with everyone i see so dont misinterpret me i am in this army and i am going to fight for this country and soon i think, but down in my heart i know a white man hates me and only wants to use me in an emergency well that o.k. but you all dont want us here why dont you send us away or colonize? the negro there [unclear]waby[/unclear] we wouldn't interfer with your women, or they wouldn't bother us. if you want to win this war and i know you so, if you would start cleaning up at home first and start freeing europe later on maby things would progress better as for me i dont give a damn because i dont expect to come back after the war anyhow.",black,463,[unclear]waby[/unclear],
"in my estimation, the colored soldier has'n't a chance down south. he is treated like an animal. you may think i'm to young to understand, but i know. my father died when i was 5. i don't even remember him. but mother tells me what he won't [unclear]show?[/unclear]. my father was in the british army. thats why i say, what has the negro got to fight for? can you answer that. many have given their lives to [unclear]boy?[/unclear] to big the world of [unclear]prejudice?[/unclear], but what does the white man think? i'll tell you, he thinks the colored race is the [unclear]terriblest?[/unclear] thing there ever was. yes they speak of free speach etc, but anyone can speak, what are they going to do about it? not a thing (ever) you asked me my conseption of this there it is. only god knows what will happen after this war. so i say again what has the colored soldier to fight for. many have families to worry about, and are taken from their homes, well they put him some place on the map where he has to be tormented,then when he gets in a fight, they want to get rid of him. again i say what have we to fight for. onlt god knows what the morrow will bring. i may be a volunteer, but if i ever get out ----.",black,496,[unclear]show?[/unclear],
"in my estimation, the colored soldier has'n't a chance down south. he is treated like an animal. you may think i'm to young to understand, but i know. my father died when i was 5. i don't even remember him. but mother tells me what he won't [unclear]show?[/unclear]. my father was in the british army. thats why i say, what has the negro got to fight for? can you answer that. many have given their lives to [unclear]boy?[/unclear] to big the world of [unclear]prejudice?[/unclear], but what does the white man think? i'll tell you, he thinks the colored race is the [unclear]terriblest?[/unclear] thing there ever was. yes they speak of free speach etc, but anyone can speak, what are they going to do about it? not a thing (ever) you asked me my conseption of this there it is. only god knows what will happen after this war. so i say again what has the colored soldier to fight for. many have families to worry about, and are taken from their homes, well they put him some place on the map where he has to be tormented,then when he gets in a fight, they want to get rid of him. again i say what have we to fight for. onlt god knows what the morrow will bring. i may be a volunteer, but if i ever get out ----.",black,496,[unclear]boy?[/unclear],
"in my estimation, the colored soldier has'n't a chance down south. he is treated like an animal. you may think i'm to young to understand, but i know. my father died when i was 5. i don't even remember him. but mother tells me what he won't [unclear]show?[/unclear]. my father was in the british army. thats why i say, what has the negro got to fight for? can you answer that. many have given their lives to [unclear]boy?[/unclear] to big the world of [unclear]prejudice?[/unclear], but what does the white man think? i'll tell you, he thinks the colored race is the [unclear]terriblest?[/unclear] thing there ever was. yes they speak of free speach etc, but anyone can speak, what are they going to do about it? not a thing (ever) you asked me my conseption of this there it is. only god knows what will happen after this war. so i say again what has the colored soldier to fight for. many have families to worry about, and are taken from their homes, well they put him some place on the map where he has to be tormented,then when he gets in a fight, they want to get rid of him. again i say what have we to fight for. onlt god knows what the morrow will bring. i may be a volunteer, but if i ever get out ----.",black,496,[unclear]prejudice?[/unclear],
"in my estimation, the colored soldier has'n't a chance down south. he is treated like an animal. you may think i'm to young to understand, but i know. my father died when i was 5. i don't even remember him. but mother tells me what he won't [unclear]show?[/unclear]. my father was in the british army. thats why i say, what has the negro got to fight for? can you answer that. many have given their lives to [unclear]boy?[/unclear] to big the world of [unclear]prejudice?[/unclear], but what does the white man think? i'll tell you, he thinks the colored race is the [unclear]terriblest?[/unclear] thing there ever was. yes they speak of free speach etc, but anyone can speak, what are they going to do about it? not a thing (ever) you asked me my conseption of this there it is. only god knows what will happen after this war. so i say again what has the colored soldier to fight for. many have families to worry about, and are taken from their homes, well they put him some place on the map where he has to be tormented,then when he gets in a fight, they want to get rid of him. again i say what have we to fight for. onlt god knows what the morrow will bring. i may be a volunteer, but if i ever get out ----.",black,496,[unclear]terriblest?[/unclear],terriblest
"as a soldier in the armed forces i think that every soldier should be made to feel that he is the best damn soldier in the world. the army should protect all of its soldiers and see to it that they aren't mistreated. they should be given a chance according to thier abilities regardless to color. when a soldier is made to feel he is inferior he lacks the efficcancy to perform his task which he should have.  there is a reluctance on the part of the officials of the war dept to allow certain soldiers (negro) to get much of a chance in the air corps & other units. there are only a few tanks units (two). its not because these soldiers aren't proficient in these branches. its a false conception on the part of the higher ups. men should be graded by character and ability and place accordingly. and not held and restricted mostly to certain units. to me the average white soldier (enlisted) man is prejudiced, because he knows we are all got to cooperated in order to bring this war to a successful conclusion. the false theory that white and negro soldiers can't get along to-gether is absolutely false. in certain places they have prooven it such. it can be done everywhere else. i don't mind going over seas to help smack the axis and help make the world safe for democracy but i certainly would like to see certain places in this country made safe for certain minorities. the whites especially from the south are very unwilling to give every citizen a chance to work and fight as they desire. what is a  handicap to people who are absolutely patriotic, and willing to sacrifice as everyone else does. its [unclear]bad[/unclear] on the morale of the negro american soldier.",black,507,[unclear]bad[/unclear],bad
"the army is a fine place to be in every young man should have several years [unclear]training[/unclear] before he is twenty one it helps in the future, but a negro shouldn't be sent to the southern states because it ceases to be help, but a prison, because his recreation is limited and he becomes bored and loses his moral [morale].",black,511,[unclear]training[/unclear],training
"we should have better treatment in every respect, and that would make us feel like we really do have something to fight for. the [unclear]dx[/unclear] all should be one and the more we are together the more brother hood we will create within us. since we are in the war together let every man feel that way by treating one another that way. that's what we all want and i am sure [unclear]every [/unclear]soldier will be willing to [unclear]bear or[/unclear] play his or their part.",black,514,[unclear]dx[/unclear],
