"","row","text","response_type","outfits"
"72",72,"i realize this questionnaire is to get the reaction of the negro soldier towards the government, the civilians, and how he feels towards other countries. i have only this to say that if the negro both now as a soldier and later as a civilian is given anywhere a near break he will be an asset to his country.  in other words treat him in all parts of the country and jobs or positions as equally as the white race it will be to the credit of the white race.","black_long",NA
"73",73,"i have answered all questions to the best of my knowledge and i  comments","black_long",NA
"74",74,"we should have more negro office. we should have some office over a company that understand men. we should have an old office over our company. this camp is  for a negro soldier to be we could have better bus service to here. we would like to have a negro company commado. the army said they would give you the job you are best outfit for but you can this outfit. they will  talk about it. i would like to be in phila q m tailoring or truck @ m. b. n. i am best outfit for that kind of work to help the war.","black_long",NA
"75",75,"i do  that it should make any difence between the human race the negro are as good as the and the white are the same tea ll are fighting for the same causes negro should be treated the same  as there   negro soldier are treated very  from the north  neather have i argud officers then write  from the negro  be treated but  should be treated like white peaples after all  at stake as will at the white man that is my idea","black_long",NA
"76",76,"to speak very frank both races are fighting for the same purpose. i can  any reason why there should be any prejudice at all. all are human being's. a colored mans life means just as much to him as a white's. a negro soldier thinks just as much of his families as a white. that is one reason why this country has so many difficulties, they have a war within the united states. i can  why some of our distinguished leaders do  up and realize that ""all men are created equal,"" and should be treated likewise.","black_long",NA
"77",77,"well we do  fight. but we have to fight and we work hard to fight. i would like to be in all negro outfit and  at all we like and we can  due to part well i do  the army at all","black_long",NA
"78",78,"i think we should have all negro offers who under stand men would like it better","black_long",NA
"79",79,"i wish i could get out of this company i am praying to god to help me get out we have some  people in here it will  like this all ways god will answer my pray thank ","black_long",NA
"80",80,"i have none except the negro should have their right an privileges to work where they want to - color should mean nothing.","black_long",NA
"81",81,"the policy of separation as practiced in army and army camps make it seem to negro that they are in service for white people instead of serving along with them.","black_long",NA
"82",82,"the colored man in the u.s. does  a fair chance if the negro have hell at home and then have to go and fight he does  like making a good soldier he feels like he does  anything to fight. when the negro is given a fair chance he will make a better man or soldier. when he feels that he has something to live for he will  dying for it. until the day comes that the white man does  at the negro as a negro but as one of them and the negro does like wise that the day that the negro will feel that he has something to live for and he will  dying because he feels he has something to die for.","black_long",NA
"83",83,"i think it is fine, i hope it will work out some of the irrigularities in mood of the camps where negro soldiers are trained under white officers. i say this ny prejudice on my part.","black_long",NA
"84",84,"i thought the questions were very good","black_long",NA
"85",85,"some are from some the south and they like to treat a negro like they do down south in the army. therefore that will  in the army.","black_long",NA
"86",86,"the sooner the white people and colored people will get togeter and stop the gruge that has been since slavery time the better the 2 races will get along; then i do  there will be so many wars. i think you","black_long",NA
"87",87,"i only hope that this country will be as interested in freedom for its own different races, as it is in freedom for other races in foreign countries. guarantee freedom at home first then be an example for other people of the world.","black_long",NA
"88",88,"qustion , i do  what three qustions that i would ask the president. because i have so much that i would like to ask him.","black_long",NA
"89",89,"i think that since there is so much racial prejudice and hatred going on the negro soldier tends to feel as though he is just being """"used"""" by the white people as we have been in the past.  we are treated like """"hell"""" all of the time and when a war breaks out we are given a few privileges to build up our patriotism and we have to fight for """"our"""" country. even though deep down inside of every one of us we know that we are ing for a democracy that is equally beneficial to the negro as the other race.  we are all wondering that after the war will we still be barred from hotels, theaters, etc. segregated in trains and horses -- lynched in the south -- given lowly jobs that white does  etc. and yet we have fought and given lives for this country. i doubt if there will ever be a true democracy here. it would be better if there were a law made that the u.s. majority of whites do  negro around.","black_long",NA
"90",90,"some of these questions were rather difficult for me, because my idea of the army was some what different than i found. we have some good sergeant and officers.  we also have some that is going to cause some trouble sooner or later. although i believe the boys in my outfit are well behaved as any. one or two sergants + officers carries things a little to far at times. ","black_long",NA
"91",91,"as a whole the negro will be more united after the war due to his training and cooperation with other soldiers and will have spirit to speak for and demand his rights.","black_long",NA
"92",92,"i am glad to have a chance to express myself and get a chance to answer question which are very good question but i might have  of this hadn't i been given this chance so i am very much glade to get this chance so with my kindness i am thankful for the oportunity of expressing my mind.","black_long",NA
"93",93,"to make better jobs along","black_long",NA
"94",94,"advancement after a colored soldier has become a 2nd lieutenants seems very slow so i indifferent as to were i become an officer or not. i notice that negro soldiers with ability from 184th f.a. become officers of all rank from colonel down because the outfit was all colored. that is the only way possible for a young negro with ability to advanced. why should there be white senior officers of 100% negro enlisted personal and  junior negro officers over white enlisted personal. i can  unless white man is consider more efficient to himself and places himself upon a throne even in the army of the u.s. the station hospital here has a table for negro to go over in the back of the mess and eat when there are white southern soldiers there who can  their name of speak a word of english. the situation is inendible.","black_long",NA
"95",95,"let us first after the war do:  of any kind equal education substantial financial aid for all americans create jobs for all soldiers do away with old customs and values that are against the freedom of all americans give god a little more attention he is the answer to this questionnaire.","black_long",NA
"96",96,"i think the questionnaire was a very good idea. it give us a chance to express ourselves. in the american white knowing our opinion, i believe it will serve as an aide to we negro. also, about the transportation, i am afraid to leave camp sometimes because of the fact the bus may run late and i return a.w.o.>. what we need are more  or truck service.","black_long",NA
"97",98,"i think soldiers or most of them ought to have or be stationed at a camp  than 300 miles from their home town so they may get home at least every other week. if that is , and are sent 1000 miles or more from home ought to get home at least for five days out of every other month. every , u.s.o., or p.x. ought to be mixed.","black_long",NA
"98",99,"i feel like if the white and color in the united stake will be more loves together any serve th lord that we will overcome our enemy unless the lord be with us we will now comfort any thing white and color get along so bad together the lord will  down on our down fall so if we can only get together and serve th lord with a fatiful and earnecy heart we will win this war if we stay apart we will fail because we or  the lord we are all one in his sight and want to ask as one why we live here on earth so i pray that the lord will bliss this country and deliver me from all sin.","black_long",NA
"99",100,"it will just have to be better and i mean much much better for the colored people after this war. for after they are putting their life.ie at stake for  at all. they do  . like was put before them after the war in 1918. that kind of sad jive will  take this time. it will only be one answer you can give us. (better or none at all)","black_long",NA
"100",101,"all hopes are, that a better living condition will be expected after this war,  just a few or just for a race. - as all participant should be given there just rewards.- but it has long been experienced that, all of mans or a group of men (nations) gains have been hard to get.- and the same goes to minorities  in nations.-","black_long",NA
"101",102,"____ if we work together then it well be better for all this is everybody war e  so when we get together then we can work together eat together play together we can win the war and come back home and rego  but can  we work together it well be mess and a hell to calm me myself i do  if we well work lake brother i well do all i can do for all e but all so lest try and work lake brother so we can go home with  wife mother and farther good luck to all.","black_long",NA
"102",103,"i think the people down south should be given a better chance. i all so think those of us should be given a chance to fly i think the people down south should be given the same privilges as the northern people. i all so think jim crowing should be done a way with i think we all should be one big family","black_long",NA
"103",104,"i do ny comments about this questionnaire. i think negro should have some parts in this as much as other, because it is there country all so.","black_long",NA
"104",105,"i do  negro get a fair break in army camps for recreation. the u.s.o's are inadequate. the transportation in some camps and most railroads is very bad. the furloughs are n prompt. the ratings are held up. in negro divisions where there are white officers, all eligible enlisted men are n a chance to go to cs.","black_long",NA
"105",106,"would like to be in the east artilley or in a another camp close to town. or close to home.","black_long",NA
"106",107,"question . i tried to volenter but was refuse so i was drafted","black_long",NA
"107",108,"why i would like to be stationed in the north is because i do  being in the army, and i do  giving my life for my country, so therefore the country must have some consideration for a man especially a married man. you see when a man is a long ways from home he can sit down and think a lot of things. i have a daughter at home in which I have n before. in another case, if you are from home and go into town get some kind of device you have lost that time alright if that man was stationed near home he can go home an come back just like he left he for, because he knows whats home. now my daughter was born two weeks after i came in the army i have aw her yet, now things like that can really hurt a man i think thats the reason why you have so many a.w.o.l. in the army. he can be able to go home at least once a month and at least seven days out a month. he does  to married officially to go home an see his mother or his family.","black_long",NA
"108",109,"i spent 2 months in training in alabama and could  to a deacent show for the white soldiers went, and  civilian police really hate a colored man in uniform. was almost shot for  at all and can prove it. i was more or less proud of my uniform until then. i do  any soldiering hart since then. what i do, i want to put my hart into, but i am living in constant fear that i will be sent south again, and if i am, i know i will be greeted with the same unfair pratcise as before. i would like to feel that my people all over the country will be benefited by my sacrifice.","black_long",NA
"109",110,"why are  colored people given as much chance to get a higher rank in the armed forces when they have the ability to do so why colored soldiers get ed just like the white in the south","black_long",NA
"110",111,"if it was left up to me when the war were over. if we did  it better i would start a war myself after putting my life up for a place that i were to call my country than would be run over. well what do you think that look like to me that i would have more to fight for than i go now. about a negro soldiers down south he is  than a dog. to them white people down there making get off the street.","black_long",NA
"111",112,"i do  the infantry.","black_long",NA
"112",113,"i know like the infantry volunteer for the cavalry and that is where i like to go please because i like to ride horse please","black_long",NA
"113",114,"in the company which i am a part we have the best in commission officers and men and i do believe that when the japs and germans see the 92 div. rolling along towards their fronts, they will know that their time to die has come. for we fight with a song on our lips which says, ""freedom for america for ever."" a company like our who believes in this cannd will  lost. in the company which i am a part we have the best in commission officers and men and i do believe that when the japs and germans see the 93 div. rolling along towards their front they will know that their time to die has come. for we fight with a song on our lips which says, ""freedom for america for ever."" a company like our who believes in this cannd will  lost.","black_long",NA
"114",115,"my only comment is that the negro and the white race be on the same base one for all and all for one.","black_long",NA
"115",116,"my opinion about this questionnaire is rather brief. but gave me a chance to express my opposition about some of the things i wanted to express. the white officers are most from the south see that make them hard to get along with then .","black_long",NA
"116",117,"i do  this camp here for i can thiscalm","black_long",NA
"117",118,"i think when the war is over the negro peoples will or they should have a better chance then before. thire is sum parts of the united states the negro do  a pasible chance. but i think it will be better after the war.","black_long",NA
"118",119,"i know that if a man could see his family say about once every two months you would have lot better soldiers because a man would have his mind on what he was doing and would be able to do better. but the way it is now seeing your family once every six month if you are luck. and i do  its right that has a camp of soldiers are between 185 to 200 miles from home they are able to go home on week end passes and the other men are nine and ten hundred miles from home and they can  get a three day pass that is one reason there is so much awol in this camp  he is  good soldier. one man goes home over the week end and tell a soldier how nice it was to be home he knows a week end pass is know good to him. so that is why there is so much a.w.o.l.","black_long",NA
"119",120,"concerning the treatment of negro soldiers after the war. i were a small boy at the close of world war . during the time of war white people treated the colored pretty good. but after the war, some soldiers who had spent 18 months oversea were llowed to wear their uniforms on the streets down south. that may  this time. but as for riding street cars, buses, and trains i think the jim crow law will always rule. unless there be a american race war, which would spell disaster for our race they are too small in number to win. hoping i am wrong i ll quit here. this war will be over inside of two years. britain and russia will fight over india and africa","black_long",NA
"120",121,"when we speak of america we do  of color. i my self as an american born negro is a believer in the doctoring of the great president a lincoln. a government for its people by its people shall  from this earth. 76  when you have people of two or more colors it create fricton it will  the average negro is happy as it is.","black_long",NA
"121",122,"1. the rights of negro to government jobs 2. the right of negro to vote in the south 3. the right of negro to build home where ever they please 4. fair employment in factory. 5. the right of officer, to go up as high as they can 6.  of children in school. 7.  of negro in any part of america. 8. the equal rights for all people, regardless of race, color or creeds, rich or poor. then american will shine, as the land of freedom.","black_long",NA
"122",123,"one thing i notice when passing by the white soldiers division is they call names and seems to want to make trouble. that is the greater of them. some seems alright. and about the police matter. in some places they pick you up for a little of nothing and the first thing they do is beat you and calls you all sorts of names and in court or when your people come down to see you they  they did not't tough or called you all out of your name. and than too a lots of am white lieutenants act like they do  get to close to you or even tough you. there is  paper left to explain cause me and all the soldiers have more to say, than one slip of paper can hold.","black_long",NA
"123",124,"i do  any thing to say about it all.","black_long",NA
"124",125,"in general negro in civil life are treated on the same bases as enemies of the u.s.a. than citizens. we as negro are  of enough to be hired in defense plants. but any foreigner can have a better position than he. we have men and women qualified to hold any position as good as any race but we are n the chance. there is too much race prejudice in the army where there are negro troops and white officers. why should the negro soldiers fight for the country which is treating him so bad. the negro is treated as a parasite. we are thinking how germany treated the jewish race. what about the treatment of the white toward negro? it can be better and will have to be better before victory is won.","black_long",NA
"125",126,"you did not't have any thing about the east on no. 12 so i put east down","black_long",NA
"126",127,"i do  any comments to give. i don⊙t have any comments to give.","black_long",NA
"127",128,"to me this is the white man's war. i see  why the negro who for years had eatten from the crumbs of the white mans table, now be forced to fight and protect a system, a way of life that even he dislikes. this great country could lead the way for a world democracy, but first we must put into effect that same idealistic democracy. let us place our own home in order. give the negro something to fight for beside a promise, let him feel that he is a part of this country and he will fight and fight like hell.","black_long",NA
"128",129,"would like to get a transfer to m.p.'s closer to home.","black_long",NA
"129",130,"the powers given to 1st sergeant should be definitely stated on paper. the privilege of speaking to the commanding officer should  denied the soldiers by 1st sergeant. i think that government should pay allotments as the money is taken out of monthly pay. this camp is too far from civilization. negro soldiers are  properly. they are ssued enough practice ammunition.","black_long",NA
"130",131,"i would like to get out of the army because i am ble to soldier. i feel that i would be more service to my country as a war worker than i would be in the army.","black_long",NA
"131",132,"i feel that i am  outfit for combat duty. why am i made to suffer in the army. i can  about good. i live dreading the the day and suffer all night. i believe i earned the  greater service as a worker than as a soldier. then i would also by more war bonds.","black_long",NA
"132",133,"i would like to see more negro officer in the army. i would also like to","black_long",NA
"133",135,"we will be glad when the war is ending so we can get back free a again","black_long",NA
"134",136,"it too bad it happened  a war every twenty years  but i gess it  right  i hope this will be the last war  as far as my concern  i hope thing will be better after the war do you think it right for me to fight in this war  will maybe i will have a better break after the war i hope  i hope this war will soon be over  we could hury and go home and get mary","black_long",NA
"135",137,"the reason i would like to be at fort dix is because it near my home where my wife live and she could take care of any businesses better for it would s much for her to come and go from here home to this camp","black_long",NA
"136",138,"my idea is if the white would give the negro the same chance they have things would be better others  the white man do  the negro a fair change things would be better if they would try and come together","black_long",NA
"137",139,"i do  men that is married and have a family should be sent so far away from his family that he can  hem for a weekend at lest once a month. i believe he will make a better soldier if he can see his wife and children once in a while i have a wife and two children. i  them in over four month. i try very had to be a good soldier. it would help so much if i could see them.","black_long",NA
"138",140,"why should we get  home then we do begise  of us have n home sent we been here some of us be here for a year more an have en hom yet why is that i do  it an is doing the best we can an we can  to go home at all i thank when a main been in serves for six month he should go home","black_long",NA
"139",141,"the army is all right for those that like it i do  enough to eat some time and i do  whay wee half to sleep in the woods so much but i guess that the way the army goes.","black_long",NA
"140",142,"i think this is a good question so more than one can  we are doing in our camps","black_long",NA
"141",143,"they could treat the negro in the south better and give them a better chance to live. why do the white treat the negro so bad. can y put a stop to that. they could treat the negro in the south better. and give them a better chance to live why the white treat the negro so bad. can y put a stop to that.","black_long",NA
"142",144,"i am like the army camp all right i like north the besie  i just like the north the besise now.","black_long",NA
"143",145,"1. i hope the war will  long. 2. and i hope we will win the war. 3. we will win this war. 4. i hope the people back home will work and do there part and help us win this war 5. i hope the farm will raise a pleny food for our shoulder 6. and i hope i will get in a camp in the south 7. i would like to see my people. and also my fiency 8. if we team work together we will win this war. 9. and we are going to win it.","black_long",NA
