long,racial_group,index,bracket,correct,,
"there is to much predjudice in the south towards the colored troops. they are fighting too, to help save america and the white people's money and possessions. if they want him to fight for them why not treat him like they do the white soldiers. they look upon him as being a [????] or a fool. some of them and soldiers too have said that the negro & negro soldier is nothing but a dog to them. i would like to know what they are thinking about to make such a remark. color does not make the man. every one is created free and equal. man is a living soul. if they should treat the negro as a human being, they would get more co-operation out of him. break down the barrier and give the negro a fair chance.",black,1376,[????],"there is to much predjudice in the south towards the colored troops. they are fighting too, to help save america and the white people's money and possessions. if they want him to fight for them why not treat him like they do the white soldiers. they look upon him as being a or a fool. some of them and soldiers too have said that the negro & negro soldier is nothing but a dog to them. i would like to know what they are thinking about to make such a remark. color does not make the man. every one is created free and equal. man is a living soul. if they should treat the negro as a human being, they would get more co-operation out of him. break down the barrier and give the negro a fair chance.",,
"i think the questionaire [questionnaire] is excellent because one can express himself in the way he desires and, doesn't have any fear of being harmed. i didn't have enough space to express myself in the way i desire. some of he questions are a little perplexing because i didn't have spaces  under some questions to make myself very clear after i had drawn the x by quesitons. if i could converse with the instructor i am sure that i could explain my self better. whoever checks this questionnaire i hope he or she will do a great deal of thinking before coming to any conclusion. whoever thought of this questionnaire was a splendid  idea. i didn't have the time i wanted.",black,1380,[questionnaire],"i think the questionnaire is excellent because one can express himself in the way he desires and, doesn't have any fear of being harmed. i didn't have enough space to express myself in the way i desire. some of he questions are a little perplexing because i didn't have spaces  under some questions to make myself very clear after i had drawn the x by quesitons. if i could converse with the instructor i am sure that i could explain my self better. whoever checks this questionnaire i hope he or she will do a great deal of thinking before coming to any conclusion. whoever thought of this questionnaire was a splendid  idea. i didn't have the time i wanted.",,
no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand people treatedthroughoutmy be cause [because] we kill in the street and push of bus and train all  the would and memory will be treated right some  the would stand,black,1406,[because],no way calulde!. i am not treated roight no where i go be cause we wr kill in the street and push off bus and train all over the world and meu will be treated right lone bt the usualth stand people treated throughout my because we kill in the street and push of bus and train all  the would and memory will be treated right some  the would stand,,
"i am t/5. i've been in service 25th of this month one year. i work hard, and that's highest i've gotten, lots of other outfits tank drivers are t/4, but it's due to our company commander, his home's in louisiana & his assistance's[assistant's] from mississippi so you can judge by that what chances a negroe has. that's why i wanted to be transferred that's why i stay dissatisfied and upset. low in spirit and the m.p.s some of them beat on your head because they have the advantage of you. here on this post we don't have a theater and nothing else for consolation.",black,1407,[assistant's],"i am t/5. i've been in service 25th of this month one year. i work hard, and that's highest i've gotten, lots of other outfits tank drivers are t/4, but it's due to our company commander, his home's in louisiana & his assistant's from mississippi so you can judge by that what chances a negroe has. that's why i wanted to be transferred that's why i stay dissatisfied and upset. low in spirit and the m.p.s some of them beat on your head because they have the advantage of you. here on this post we don't have a theater and nothing else for consolation.",,
our company com[m]ander is out of the south and he give  to whose he want to have their and them he dont like he do give them a transfer for nothing that have a  in hte army now but it make no difference bout many so far as i am getting  feb 16 1943,black,1410,[m],our company commander is out of the south and he give  to whose he want to have their and them he dont like he do give them a transfer for nothing that have a  in hte army now but it make no difference bout many so far as i am getting  feb 16 1943,,
"if a colored soldier is to take a chance on dying, i think he should be treated as equal's [equal] to any man in uniform. it has been proven that there are no superior races[.] all are gods [god's] chosen people. i would not want to socialize with white troops, but in a democracy i like to think that i could if i wanted to. if colored soldiers are shot like cattle during total war in the u.s.a. what can they expect, when the war is over.[?] i would like to call this properganda [propaganda] but the rumor is colored combat troops are only formed as an appeasement to the race at home, i only wonder!",black,1417,[equal]|[.]|[god's]|[?]|[propaganda],"if a colored soldier is to take a chance on dying, i think he should be treated as equal to any man in uniform. it has been proven that there are no superior races. all are god's chosen people. i would not want to socialize with white troops, but in a democracy i like to think that i could if i wanted to. if colored soldiers are shot like cattle during total war in the u.s.a. what can they expect, when the war is over? i would like to call this propaganda but the rumor is colored combat troops are only formed as an appeasement to the race at home, i only wonder!",,
 i would like very much to say i feel that i could do more on the job lik[e] the farm for helping the army i could help produced vegetables and all of the farms production. the reson [reason] why i say so is because i has spent the most of my life on the farm.  and i am already aquantied [acquainted] with that type of work.,black,1431,[e]|[reason]|[acquainted], i would like very much to say i feel that i could do more on the job like the farm for helping the army i could help produced vegetables and all of the farms production. the reason why i say so is because i has spent the most of my life on the farm.  and i am already acquainted with that type of work.,,
thair are a number of things that the negros could do to help win the war if they only had the chance. thair are so many things that they can't get a chance to do. i think that this is the best way of finding out the true facts about the whole thing. after all a number of things the government would allow them to do the people in different places wont allow them the opportunity. after these things leave washington and travle through so many orginations [organizations?] they are changed before they get to the negro. thair for they are trying to keep him down and not allowing him a chance at all.,black,1445,[organizations?],thair are a number of things that the negros could do to help win the war if they only had the chance. thair are so many things that they can't get a chance to do. i think that this is the best way of finding out the true facts about the whole thing. after all a number of things the government would allow them to do the people in different places wont allow them the opportunity. after these things leave washington and travle through so many organizations they are changed before they get to the negro. thair for they are trying to keep him down and not allowing him a chance at all.,,
i dont [don't] like this meat that we get. and if you was getting this meat you would like it  sorry to sent all the camp  meat that will make me sick  if eat it but i want eat it that must be mould meat that meat is hard you cant hardlycut it with a  knife rather it  about all this time but more next time. so i will close a good soldier good by i wish i could you all say  me,black,1448,[don't],i don't like this meat that we get. and if you was getting this meat you would like it  sorry to sent all the camp  meat that will make me sick  if eat it but i want eat it that must be mould meat that meat is hard you cant hardlycut it with a  knife rather it  about all this time but more next time. so i will close a good soldier good by i wish i could you all say  me,,
"the medical service here is a little off. due to the setup here not very much medical attention is given. a patient waits too long to get attention. all prescriptions are same and regardless to what disposition no ar35-1440 is most expected. to much attention on dc cases ad none on other. the dential [dental] department does splendid work and have improved the teeth of a great number of soldiers here. recreational facilities are not quite up to par and most non-commissioned officers should be school-ed on how to treat, direct and instruct the enlisted personnel of their command.",black,1450,[dental],"the medical service here is a little off. due to the setup here not very much medical attention is given. a patient waits too long to get attention. all prescriptions are same and regardless to what disposition no ar35-1440 is most expected. to much attention on dc cases ad none on other. the dental department does splendid work and have improved the teeth of a great number of soldiers here. recreational facilities are not quite up to par and most non-commissioned officers should be school-ed on how to treat, direct and instruct the enlisted personnel of their command.",,
"i i think  in huachuca arizona they are killing the men by walking them to death before they can get a chance to fight. ii after the men from the north have had their basic training they should be able to transfer to camps near their home. it would raise their morral [morale] twise as much iii most of the men be so tired after training here in fort huachuca arizona tell they don't have time to write home to the ones they love iv at first the goverment made men take our allotment, now some men that been reasently married since the war started won't to have allotment made can't unless they go through hell sending home for marriage certificate and it take 3 and 4 wk or more before he get consideration and his wife need the money while they wait for it to return from washington d.c.",black,1453,[morale],"i i think  in huachuca arizona they are killing the men by walking them to death before they can get a chance to fight. ii after the men from the north have had their basic training they should be able to transfer to camps near their home. it would raise their morale twise as much iii most of the men be so tired after training here in fort huachuca arizona tell they don't have time to write home to the ones they love iv at first the goverment made men take our allotment, now some men that been reasently married since the war started won't to have allotment made can't unless they go through hell sending home for marriage certificate and it take 3 and 4 wk or more before he get consideration and his wife need the money while they wait for it to return from washington d.c.",,
i have only one kick about enlisting in the army. they told me that if i was between the ages of 18 and 19 i could choose any branch of the service i wanted. i chose the cavalry but got sent straight to the infantry. another thing is that negro soldiers should have an explanation about why they are fighting and who they are fighting. a lot of the men in my outfit do not understand i have only one kick about enlisting in the army. they told me that if i was between the ages of 18 and 49 i could choose any branch of the service i wanted. i choose the cavalry but got sent striaght to the infantry. [break] another thing is that negro soldiers should have a exlanation about why they are fighting and who they are fighting. a lot of the men in my outfit do not understand things,black,1460,[break],i have only one kick about enlisting in the army. they told me that if i was between the ages of 18 and 19 i could choose any branch of the service i wanted. i chose the cavalry but got sent straight to the infantry. another thing is that negro soldiers should have an explanation about why they are fighting and who they are fighting. a lot of the men in my outfit do not understand i have only one kick about enlisting in the army. they told me that if i was between the ages of 18 and 49 i could choose any branch of the service i wanted. i choose the cavalry but got sent striaght to the infantry. another thing is that negro soldiers should have a exlanation about why they are fighting and who they are fighting. a lot of the men in my outfit do not understand things,,
i am a negro who believe that fighting in a world war wont help the negroes the only thing that will help the negroes is to fight in the country whitch [which] they are lived in for their right wars wont help the negroes it will only help the  country and yet they have their job to do fight for their right i am one that dont want to fight in this war because if help the negroes at all if i could get the same chance as another man than i would have same thing is fight for as it is i am laying down my life for nothing,black,1462,[which],i am a negro who believe that fighting in a world war wont help the negroes the only thing that will help the negroes is to fight in the country which they are lived in for their right wars wont help the negroes it will only help the  country and yet they have their job to do fight for their right i am one that dont want to fight in this war because if help the negroes at all if i could get the same chance as another man than i would have same thing is fight for as it is i am laying down my life for nothing,,
" what i canot understand is this when a man (color) goes in a mil [military] cooking school and comes out as a 1st or 2nd cook why they dont rate him immediatly i always had the understanding that they do rate a man fast i find they do not i wish you would look into the matter at once for all of us, not only in cooking but in other various positions.  the white southern officers are unfair to us color soldier especially to ones that come from the north and i would suggest the it would be better the color to go north under white northern officer because i feel they will understand us and helps us and give us much more of a chance to get some worfs [worth] in the army then if the color went south. all of the color are bitter about the war and their hearts are not in it and never will until you white give us a better chance in life and stop this lynching of our people and looks after your our children (color) in this country instead of worrying about your class of race all over the world",black,1465,[military]|[worth]," what i cannot understand is this when a man (color) goes in a military cooking school and comes out as a 1st or 2nd cook why they dont rate him immediatly i always had the understanding that they do rate a man fast i find they do not i wish you would look into the matter at once for all of us, not only in cooking but in other various positions.  the white southern officers are unfair to us color soldier especially to ones that come from the north and i would suggest the it would be better the color to go north under white northern officer because i feel they will understand us and helps us and give us much more of a chance to get some worth in the army then if the color went south. all of the color are bitter about the war and their hearts are not in it and never will until you white give us a better chance in life and stop this lynching of our people and looks after your our children (color) in this country instead of worrying about your class of race all over the world",,
"i think the questionnaire is fine if something could be done about the negro being treated better and having a fair chance. the war is every soldiers war colored are [or] white, so all should be treated the same. there is greater difference in the welfare of the negro soldier than the white. in this. last, when the negro soldiers go to shows or go on leave are [or] almost any other place they always have to enter the back even on bus. it don't make since [sense] to we men in the arm forces of our country. so if things don't change there will be a lot of blood sherd [shed]. believe it or not.",black,1471,[or]|[or]|[sense]|[shed],"i think the questionnaire is fine if something could be done about the negro being treated better and having a fair chance. the war is every soldiers war colored or white, so all should be treated the same. there is greater difference in the welfare of the negro soldier than the white. in this. last, when the negro soldiers go to shows or go on leave or almost any other place they always have to enter the back even on bus. it don't make sense to we men in the arm forces of our country. so if things don't change there will be a lot of blood shed. believe it or not.",,
for all when every body is spilling blood for the same cause and when things is rough both suffer through all hardships and when you think things is going to be all over and smooth sailing again you take all the cream of the milk and drink it and give me the blue jobs when you get the ham you gets the meat and give me the bone when your bowels want to move you drink sweet milk i have to take cast [castor] oil in some of it ease every uncomfotabl spot you give it to me for the same fare man its hell if you would stop and put yourself in that spot for a while if we would go by the bible and use the golden rule do onto others as you would have them do onto you this would be a good world to live in ignorance is the cause of it all i had better stop because it makes my heart bleed to think,black,1477,[castor],for all when every body is spilling blood for the same cause and when things is rough both suffer through all hardships and when you think things is going to be all over and smooth sailing again you take all the cream of the milk and drink it and give me the blue jobs when you get the ham you gets the meat and give me the bone when your bowels want to move you drink sweet milk i have to take castor oil in some of it ease every uncomfotabl spot you give it to me for the same fare man its hell if you would stop and put yourself in that spot for a while if we would go by the bible and use the golden rule do onto others as you would have them do onto you this would be a good world to live in ignorance is the cause of it all i had better stop because it makes my heart bleed to think,,
first to begin with negroes in general are good fighters all we want is a fighting chance but in order to do so we must have corporation [cooperation] that is more medical aid in order to be good fighters.,black,1493,[cooperation],first to begin with negroes in general are good fighters all we want is a fighting chance but in order to do so we must have cooperation that is more medical aid in order to be good fighters.,,
i ton't like the idea of the people [working?] me when i can  i don't like the idea of them cursing and hollaring after me. i don't think  are doing their duties.,black,1494,[working?],i don't like the idea of the people working me when i can  i don't like the idea of them cursing and hollaring after me. i don't think  are doing their duties.,,
"dear sir:  this camp is a good place for basic training because in a long run it will bring the soliders moral down. most of the commissioned officers are not experience to teach anyone combat duties & expect them to go across the water to fight. i would rather be shot here then to go across with some of them. there is a little preduice [prejudice?] here because they wont protected [promoted?] the negro officers. of course some of them dont are not ready for it.  it seems as thou they army doesn't have a system to go by. most of the commissioned are to old for the job they have. the still have old ideas. the army of today should be young, fast & streamline. a young man brains work faster that a old person. of have all make this camps training center. i think i could do my bet work training new soliders. i have already trained 3 groups of new soliders & if i must say so myself they are well trained.",black,1504,[prejudice?]|[promoted?],"dear sir:  this camp is a good place for basic training because in a long run it will bring the soliders moral down. most of the commissioned officers are not experience to teach anyone combat duties & expect them to go across the water to fight. i would rather be shot here then to go across with some of them. there is a little prejudice here because they wont protected the negro officers. of course some of them dont are not ready for it.  it seems as thou they army doesn't have a system to go by. most of the commissioned are to old for the job they have. the still have old ideas. the army of today should be young, fast & streamline. a young man brains work faster that a old person. of have all make this camps training center. i think i could do my bet work training new soliders. i have already trained 3 groups of new soliders & if i must say so myself they are well trained.",,
1. for the most part the war dept. put southern white officers over negro troops thinking they ought to be able to handle but they are making a great mistake. a 2. after a negro becomes an officers the war dept. won't allow him to rise above [?st] lt. a man with ability should rise as far as his ability will let him. 3. when a negro goes to the different o.c.s.'s he is expected to know about twice as much as the ordinary white soldier 4. and when you all class negroes you class the all alike and that is impossible. hope you all do better in future.,black,1508,[?st],1. for the most part the war dept. put southern white officers over negro troops thinking they ought to be able to handle but they are making a great mistake. a 2. after a negro becomes an officers the war dept. won't allow him to rise above lt. a man with ability should rise as far as his ability will let him. 3. when a negro goes to the different o.c.s.'s he is expected to know about twice as much as the ordinary white soldier 4. and when you all class negroes you class the all alike and that is impossible. hope you all do better in future.,,
only comment i have is the army spends money & time sending men to m. m. school at ft. benning ga. & when they return to camp or station they dont have the privelage to do what they are taught as results they forget most of it when the time comes when they need it most they dont have it.  truck drivers are not taught enough on combat driving & taking care of their vehicles. [paragrapg] another thing our company commanders have too many pets they should treat all men as men should be treated.,black,1514,[paragrapg],only comment i have is the army spends money & time sending men to m. m. school at ft. benning ga. & when they return to camp or station they dont have the privelage to do what they are taught as results they forget most of it when the time comes when they need it most they dont have it.  truck drivers are not taught enough on combat driving & taking care of their vehicles. another thing our company commanders have too many pets they should treat all men as men should be treated.,,
"i rather in anything than be in the god damn infantry, because they walk to [sic] much and hove to [sic] much work to do. i would like to be in the air force. i think i have the ability to be in it, and would like to be a commission officer. these chicken shit m.p. i do hate, and all way while i was in a god damn pool for volunteers but i did not know that i was but hope to get out after the war is over. why don't some women come out to armys camp that the whole trouble the matter with all army camp i have been to not enough womens around and they to bar from any i won and you can not have any pleasure if there not any women around. think for the opportunity of expressing my throught [sic] of the present.",black,1516,[sic]|[sic]|[sic],"i rather in anything than be in the god damn infantry, because they walk too much and have too much work to do. i would like to be in the air force. i think i have the ability to be in it, and would like to be a commission officer. these chicken shit m.p. i do hate, and all way while i was in a god damn pool for volunteers but i did not know that i was but hope to get out after the war is over. why don't some women come out to armys camp that the whole trouble the matter with all army camp i have been to not enough womens around and they to bar from any i won and you can not have any pleasure if there not any women around. think for the opportunity of expressing my thought of the present.",,
i think that this questionnaire is a great ting for we dont have the right to say some of the things that we would like to say. for it is a lot of white officers here that have  and still saying that a negro dont have any right in the army. and the most of the officers here wont let the soldier spend his opinion on anything and it dosent [doesn't] matter how right the soldier are he is still rong [wrong]. and i do hope that i will be able to  bullitins [bulletins] it giving a soldier a right to be right if he are right. far if that dont happen it might be a lots of bad thoughts  for sure  it is all that I will get keep from striking a officer for they like to drill a soldier and not tell him what to do. and i tried to be good but the officers seems as if they dont want me to be good for they try to gag me around so tell me what to do on a bullition [bulletin] so we all can read it.,black,1521,[doesn't]|[wrong]|[bulletins]|[bulletin],i think that this questionnaire is a great ting for we dont have the right to say some of the things that we would like to say. for it is a lot of white officers here that have  and still saying that a negro dont have any right in the army. and the most of the officers here wont let the soldier spend his opinion on anything and it doesn't matter how right the soldier are he is still wrong. and i do hope that i will be able to bulletins it giving a soldier a right to be right if he are right. far if that dont happen it might be a lots of bad thoughts  for sure  it is all that I will get keep from striking a officer for they like to drill a soldier and not tell him what to do. and i tried to be good but the officers seems as if they dont want me to be good for they try to gag me around so tell me what to do on a bulletin so we all can read it.,,
will my co. commander dont give every the same chance to prove what he can do. and i also thanks that if i would get a chance i would be commison[commissioned] and would be of more use to the army,black,1523,[commissioned],will my co. commander dont give every the same chance to prove what he can do. and i also thanks that if i would get a chance i would be commissioned and would be of more use to the army,,
"i am not exactly satisfied with the inf[infantry] 35 of us were sent here and assigned to the 93rd signal corp area and they only accepted about 17 the others were put into different infs [infantries], i am 32 years young in my i.a. i gave the history of my life and it look like a cinch for a.m.  they assigned me to signal and i end up in the inf. promotion is  the problems are hard. my feet are bad but that dont make and difference and its no use to complain, you will go instead of making  they are killing men. dont care how sick you are they only give you a pill, regardless of your condition the only nice officers in this camp is the chaplin [chaplain]. the rest of the entire camp could stand some improvements.",black,1524,[infantry]|[infantries]|[chaplain],"i am not exactly satisfied with the infantry 35 of us were sent here and assigned to the 93rd signal corp area and they only accepted about 17 the others were put into different infantries, i am 32 years young in my i.a. i gave the history of my life and it look like a cinch for a.m.  they assigned me to signal and i end up in the inf. promotion is  the problems are hard. my feet are bad but that dont make and difference and its no use to complain, you will go instead of making  they are killing men. dont care how sick you are they only give you a pill, regardless of your condition the only nice officers in this camp is the chaplain. the rest of the entire camp could stand some improvements.",,
"i have been in the service going on eight months. personally i think that i would have been much further advanced than i am had i been placed in a camp [in a] northern jurisdiction. our camp is  entirely made up of southern non commissioned officers. i was sent here from my basic camp with four other fellows. my present camp had already been established. the only chance i had to get anywheres was to work my way up. these southerners seem too down a man from the north, why i do not know. it must be jealousy. one reason is the average northern negro has had quite a bit of schooling, which the southern negro has not. it is their inferiority, i think, that causes the main trouble. i have the complete confidence in myself that i could duplicate the job of any non-com in my company. i have yet to (over ii became a p.f.c. i haven't been given the opportunity too hold such a rating, though i have soldiered and i know it. i don't want you too take this as a beef, because i am a fellow that can take the bad with the good. it just gauls me to be under these half-educated misinterpretation of soldiers. who am i too chastise the doings of one of such  beings. in closing i say one thing i am still going too soldier, for i don't intend too remain a private during the remainder of my stay in the army. just a private.",black,1539,[in a],"i have been in the service going on eight months. personally i think that i would have been much further advanced than i am had i been placed in a camp in a northern jurisdiction. our camp is  entirely made up of southern non commissioned officers. i was sent here from my basic camp with four other fellows. my present camp had already been established. the only chance i had to get anywheres was to work my way up. these southerners seem too down a man from the north, why i do not know. it must be jealousy. one reason is the average northern negro has had quite a bit of schooling, which the southern negro has not. it is their inferiority, i think, that causes the main trouble. i have the complete confidence in myself that i could duplicate the job of any non-com in my company. i have yet to (over ii became a p.f.c. i haven't been given the opportunity too hold such a rating, though i have soldiered and i know it. i don't want you too take this as a beef, because i am a fellow that can take the bad with the good. it just gauls me to be under these half-educated misinterpretation of soldiers. who am i too chastise the doings of one of such  beings. in closing i say one thing i am still going too soldier, for i don't intend too remain a private during the remainder of my stay in the army. just a private.",,
i think the office could be more fair with the men. there could be some more recreation. they all way find something to do on the little time we have[.] could get some better food[.],black,1550,[.]|[.],i think the office could be more fair with the men. there could be some more recreation. they all way find something to do on the little time we have. could get some better food.,,
"well the only thing i can say that we are in the army it is true, but we don't have any choice at anything. i am trying to make some thing [something] out of myself but they wont [won't] give me a chance. i think i can help my country more than what i am now. i am sure i will do better. the negroes are egear [eager] but they dont [don't] have their mind on the war. they dont [don't] realize how important it is. but if they give us a chance or treat us better we will fight better.",black,1553,[something]|[won't]|[eager]|[don't]|[don't],"well the only thing i can say that we are in the army it is true, but we don't have any choice at anything. i am trying to make something out of myself but they won't give me a chance. i think i can help my country more than what i am now. i am sure i will do better. the negroes are eager but they don't have their mind on the war. they don't realize how important it is. but if they give us a chance or treat us better we will fight better.",,
"adherence to the ideals upon which this country was founded and by which it hopes to survive would make the greater part of this questionaire utterly unnecessary  this questionaire proves that those in authority realize as every other thinking american does, that there is a rotten spot in this democracy - and that it is more dangerous than all our external enemies  i hope that our forefathers, the founder of our country, out of whose hearts our glorious constitution sprang would be a shamed of the necessity for this questionaire after centuries of of living in [underlined]this[/underlined] the hope of the world america",black,1558,[underlined]|[/underlined],"adherence to the ideals upon which this country was founded and by which it hopes to survive would make the greater part of this questionaire utterly unnecessary  this questionaire proves that those in authority realize as every other thinking american does, that there is a rotten spot in this democracy - and that it is more dangerous than all our external enemies  i hope that our forefathers, the founder of our country, out of whose hearts our glorious constitution sprang would be a shamed of the necessity for this questionaire after centuries of of living in this the hope of the world america",,
"i sincerely hope that we as americans will some day, through the grace of god, realize that america shall only be great when she becomes truly free and that our army is unconquerable when the w.d. [war department] remembers and insists upon - ""for the people"", regardless of ""race, color or creed"". not until then, gentlemen!",black,1563,[war department],"i sincerely hope that we as americans will some day, through the grace of god, realize that america shall only be great when she becomes truly free and that our army is unconquerable when the war department remembers and insists upon - ""for the people"", regardless of ""race, color or creed"". not until then, gentlemen!",,
"46. where the white people are fighting to save their  as much as money, only the negro has something really to fight for and that is the right to be free, other words we're fighting for democracy, and i pray the lord will let us have it. 46. where the white people are fighting to save their [skins] as much as money, only the negro has somithing really to fight for and that is the right to be free, other words were fighting for democricy, and i pray the lord will let up have it.",black,1585,[skins],"46. where the white people are fighting to save their  as much as money, only the negro has something really to fight for and that is the right to be free, other words we're fighting for democracy, and i pray the lord will let us have it. 46. where the white people are fighting to save their skins as much as money, only the negro has somithing really to fight for and that is the right to be free, other words were fighting for democricy, and i pray the lord will let up have it.",,
i think if a man tried to be a good man he shoud be given a chanse to sho what he can do. i am just back of my furlar an i hered some remark made that didney [didn't] sound so good i wood just lake to no why some pepler [people] dislake some pepler for no reason that in one think i relly wood lake to no i am willing to dye for my country an i fell that they shoud have some good in theair hart for me i think you very much,black,1588,[didn't]|[people],i think if a man tried to be a good man he shoud be given a chance to show what he can do. i am just back of my furlar an i heard some remark made that didn't sound so good i would just lake to no why some people dislike some people for no reason that in one think i really would like to no i am willing to die for my country an i fell that they should have some good in their heart for me i think you very much,,
the other day they began segargation [segregation] in a theatre and it was a trashy southern white soldier directing. he said the commissioned is as trashy as he is. no southern white soldier and commissioned white officer should command over colored troops.,black,1604,[segregation],the other day they began segregation in a theatre and it was a trashy southern white soldier directing. he said the commissioned is as trashy as he is. no southern white soldier and commissioned white officer should command over colored troops.,,
"i think it is a fine thing,  will it be , and hope it will? (hell no) think you  why can't a man go home for a few days, to see his family before he goes oversea. it would make him feel much better than to go over an not see them at all, that's for a man that's been in the army for 9 months or over. it would make him feel good, but you all dont . i think it is a fine thing, but will it be carried out, and i hope it will? (hell no) think you  why can't a man go home for a few days, to see his family before he goes overseas. it would make him feel much better then to go over and not see them at all, that's for a man that's been in the army for 9 months or over. it would make him feel good, but you all dont care. [family]",black,1613,[family],"i think it is a fine thing,  will it be , and hope it will? (hell no) think you  why can't a man go home for a few days, to see his family before he goes oversea. it would make him feel much better than to go over an not see them at all, that's for a man that's been in the army for 9 months or over. it would make him feel good, but you all dont . i think it is a fine thing, but will it be carried out, and i hope it will? (hell no) think you  why can't a man go home for a few days, to see his family before he goes overseas. it would make him feel much better then to go over and not see them at all, that's for a man that's been in the army for 9 months or over. it would make him feel good, but you all dont care.",,
in answer to the 69 question town police in the south are unusually unfair and try to bully the negro soldier. in florida last year i saw a colored soldier shot down by town police with[out] any reason at all it was three of them and one soldier and they could have arrested him without killing him and it wasn't anything done about it. the place was tallahassee florida,black,1615,[out],in answer to the 69 question town police in the south are unusually unfair and try to bully the negro soldier. in florida last year i saw a colored soldier shot down by town police without any reason at all it was three of them and one soldier and they could have arrested him without killing him and it wasn't anything done about it. the place was tallahassee florida,,
"i think this is a very good idea to have these questionnaire  to the colored soldier to give them a chance to explain there self as they  to for it seem as if we were not in this man army the way we have been treated. in each and every post i have been it have been a little trouble between the white and color soldier for what reason i can't tell, we are all here in this war and in order to win this war we must pull together and if we all are fighting for the same freedom why cant we be as one, in or out the whole thing unless we have the right freedom you cant ever expect thier [their] will ever be a freedom. i think this is a very good idea to have this questionnaire sent around to the color soldier to give them a chance to explain there self as they  for it seem as if we were not in this man army the way we have been treated in each and every part i have been it have been a little trouble between the white and color soldier for what reason i can't see, we are all here in this war and in order to win this war we must pull together and if we all are fighting for the same freedom why can't we be as one, in or out the whole thing unless we have the  freedom you can't ever expect thier will ever be a freedom.",black,1622,[their],"i think this is a very good idea to have these questionnaire  to the colored soldier to give them a chance to explain there self as they  to for it seem as if we were not in this man army the way we have been treated. in each and every post i have been it have been a little trouble between the white and color soldier for what reason i can't tell, we are all here in this war and in order to win this war we must pull together and if we all are fighting for the same freedom why cant we be as one, in or out the whole thing unless we have the right freedom you cant ever expect their will ever be a freedom. i think this is a very good idea to have this questionnaire sent around to the color soldier to give them a chance to explain there self as they  for it seem as if we were not in this man army the way we have been treated in each and every part i have been it have been a little trouble between the white and color soldier for what reason i can't see, we are all here in this war and in order to win this war we must pull together and if we all are fighting for the same freedom why can't we be as one, in or out the whole thing unless we have the  freedom you can't ever expect their will ever be a freedom.",,
am of the question in this   cop in the camp when i was in fla.[florida]tallahassee a cop killed 3 of our   and they after all the  that werewithus all. if i had my way about it i would kill every cop in tallahassee fla. [florida] and hang them up to a tree by the balls,black,1624,[florida]|[florida],am of the question in this   cop in the camp when i was in florida tallahassee a cop killed 3 of our   and they after all the  that were with us all. if i had my way about it i would kill every cop in tallahassee florida and hang them up to a tree by the balls,,
"mixing white southern soldiers and corled [colored] soldiers together some of them don't seem to relize [realize] that we are soldiers just lick [like] they are. i have seen it happen they want to take the [???????] of coldrs [colored] soldiers, but most of the northern boys are fair. and if i was on a war job i think i cood [could] help my people more they relly [really] need my help very much i can not help them here lick [like] i cood[could] befour before] i left.",black,1627,[colored]|[realize]|[like]|[???????]|[colored]|[could]|[really]|[like]|[could],"mixing white southern soldiers and colored soldiers together some of them don't seem to realize that we are soldiers just like they are. i have seen it happen they want to take the of colored soldiers, but most of the northern boys are fair. and if i was on a war job i think i could help my people more they really need my help very much i can not help them here like i could before i left.",,
"i have no comments, but here a toast. here to old hitler, a son of a bitch may his balls rot off with the seven year [itch] may they heat his prick with a 10 lb. hammer until his ass hole whistles the star spangled banner. finis.",black,1629,[itch],"i have no comments, but here a toast. here to old hitler, a son of a bitch may his balls rot off with the seven year itch may they heat his prick with a 10 lb. hammer until his ass hole whistles the star spangled banner. finis.",,
"we have show in our camp you can't go to, they tell you to go to your area. but a white soldier can come to your show our[or] p.x. and service club any time and is served and insulted like a negro soldier is at on[one] of the places out of his area as they call it i think any where on the post you are at is your area",black,1641,[or]|[one],"we have show in our camp you can't go to, they tell you to go to your area. but a white soldier can come to your show or p.x. and service club any time and is served and insulted like a negro soldier is at one of the places out of his area as they call it i think any where on the post you are at is your area",,
