"","source","target","weight"
"123","understand","avoid",1
"124","avoid","problem",1
"125","problem","remedi",1
"126","color","suprem",1
"127","choos","make",1
"128","man","spirit",1
"129","spirit","bodi",1
"130","realiz","fact",1
"131","fact","thank",1
"132","approv","questionnair",1
"133","give","opportun",1
"134","believ","caus",1
"135","suprem","natur",1
"136","natur","make",1
"137","human","realiz",1
"138","opportun","view",1
"139","view","believ",1
"140","lack","understand",1
"141","intellig","avoid",1
"142","understand","problem",1
"143","avoid","remedi",1
"144","suprem","choos",1
"145","make","man",1
"146","man","man",1
"147","man","bodi",1
"148","bodi","blood",1
"149","blood","grant",1
"150","realiz","thank",1
"151","thank","opportun",1
"152","let","stick",1
"153","normal","live",1
"154","problem","concern",1
"155","white","right",1
"156","race","present",1
"157","beat","axi",1
"158","congress","represan",1
"159","represan","tation",1
"160","stick","beat",1
"161","get","normal",1
"162","concern","white",1
"163","right","thrash",1
"164","thrash","congress",1
"165","tation","race",1
"166","let","beat",1
"167","axi","possibl",1
"168","possibl","get",1
"169","get","live",1
"170","live","problem",1
"171","problem","white",1
"172","concern","right",1
"173","white","thrash",1
"174","congress","tation",1
"175","tation","present",1
"176","morn","wish",1
"177","t't","know",1
"178","white","offic",1
"179","negro","soldier",1
"180","south","hell",1
"181","hell","negro",1
"182","dai","sat.",1
"183","sat.","get",1
"184","get","bu",1
"185","bu","town",1
"186","give","chanc",1
"187","hell","soldier",1
"188","like","o.c.",1
"189","south","negro",1
"190","dai","get",1
"191","sat.","bu",1
"192","get","town",1
"193","town","slow",1
"194","industri","job",1
"195","dai","come",1
"196","arm","forc",1
"197","war","end",1
"198","southern","gentleman",1
"199","ignor","southern",1
"200","southern","white",1
"201","naval","cadet",1
"202","white","sailor",1
"203","south","allow",1
"204","allow","vote",1
"205","give","chanc",1
"206","chanc","compet",1
"207","qualifi","industri",1
"208","u.s.","allow",1
"209","allow","black",1
"210","style","financ",1
"211","financ","pai",1
"212","take","place",1
"213","place","societi",1
"214","segreg","abus",1
"215","ignor","white",1
"216","judg","promot",1
"217","promot","merit",1
"218","shade","color",1
"219","train","allow",1
"220","capabl","handl",1
"221","end","war",1
"222","vote","countri",1
"223","sacrific","much",1
"224","much","white",1
"225","compet","white",1
"226","qualifi","job",1
"227","glad","dai",1
"228","come","soldier",1
"229","soldier","arm",1
"230","forc","u.s.",1
"231","travel","style",1
"232","part","countri",1
"233","end","want",1
"234","want","abl",1
"235","abus","ignor",1
"236","cadet","judg",1
"237","merit","shade",1
"238","color","give",1
"239","give","train",1
"240","thing","white",1
"241","handl","situat",1
"242","situat","white",1
"243","negro","surpris",1
"244","surpris","end",1
"245","south","vote",1
"246","countri","sacrific",1
"247","give","compet",1
"248","white","qualifi",1
"249","job","qualifi",1
"250","glad","come",1
"251","dai","soldier",1
"252","soldier","forc",1
"253","arm","u.s.",1
"254","u.s.","black",1
"255","black","travel",1
"256","style","pai",1
"257","pai","part",1
"258","countri","war",1
"259","war","want",1
"260","take","societi",1
"261","high","southern",1
"262","gentleman","segreg",1
"263","abus","southern",1
"264","white","naval",1
"265","naval","judg",1
"266","judg","merit",1
"267","thing","sailor",1
"268","sailor","capabl",1
"269","white","train",1
"270","get","sai",1
"271","glad","whe",1
"272","whe","whuld",1
"273","sai","thing",1
"274","glad","whuld",1
"275","mark","undecid",1
"276","see","good",1
"277","wan","sure",1
"278","question","see",1
"279","sure","know",1
"280","space","mark",1
"281","hope","answer",1
"282","answer","help",1
"283","help","find",1
"284","want","know",1
"285","hope","help",1
"286","answer","find",1
"287","win","war",1
"288","think","win",1
"289","last","camp",1
"290","think","questionnair",1
"291","questionnair","make",1
"292","make","complet",1
"293","complet","suffici",1
"294","leav","last",1
"295","camp","come",1
"296","month","servic",1
"297","get","dai",1
"298","grant","privileg",1
"299","privileg","see",1
"300","see","peopl",1
"301","fortun","return",1
"302","abl","abid",1
"303","leav","camp",1
"304","last","come",1
"305","come","place",1
"306","dai","month",1
"307","abid","peopl",1
"308","think","make",1
"309","questionnair","complet",1
"310","make","suffici",1
"311","place","tell",1
"312","follow","month",1
"313","grant","see",1
"314","privileg","peopl",1
"315","mani","fortun",1
"316","good","idea",1
"317","war","depart",1
"318","depart","know",1
"319","negro","think",1
"320","think","questionnair",1
"321","idea","give",1
"322","opportun","express",1
"323","let","war",1
"324","war","know",1
"325","questionnair","good",1
"326","good","give",1
"327","give","opportun",1
"328","let","depart",1
"329","know","negro",1
"330","think","war",1
"331","questionnair","idea",1
"332","express","let",1
"333","let","know",1
"334","depart","negro",1
"335","know","think",1
"336","negro","war",1
"337","much","walk",1
"338","infantri","right",1
"339","much","jim",1
"340","jim","crowism",1
"341","fair","chanc",1
"342","proper","vocat",1
"343","white","offic",1
"344","us","bad",1
"345","bad","languag",1
"346","think","man",1
"347","make","good",1
"348","good","soldier",1
"349","hand","treatment",1
"350","much","red",1
"351","red","tape",1
"352","bitter","worker",1
"353","much","crowism",1
"354","give","fair",1
"355","vocat","negro",1
"356","us","languag",1
"357","languag","negro",1
"358","negro","sai",1
"359","negro","fight",1
"360","make","soldier",1
"361","take","hand",1
"362","treatment","young",1
"363","much","tape",1
"364","worker","man",1
"365","crowism","armi",1
"366","armi","negro",1
"367","negro","give",1
"368","give","chanc",1
"369","chanc","branch",1
"370","branch","servic",1
"371","servic","camp",1
"372","proper","negro",1
"373","negro","white",1
"374","offic","hand",1
"375","white","us",1
"376","bad","negro",1
"377","see","negro",1
"378","good","war",1
"379","take","treatment",1
"380","hand","young",1
"381","servic","homefront",1
"382","t't","much",1
"383","tape","discharg",1
"384","bitter","man",1
"385","jim","armi",1
"386","fair","branch",1
"387","negro","offic",1
"388","white","hand",1
"389","hand","white",1
"390","white","bad",1
"391","us","negro",1
"392","languag","sai",1
"393","sai","see",1
"394","t't","red",1
"395","red","discharg",1
"396","stand","bitter",1
"397","man","young",1
"398","color","race",2
"399","white","man",1
"400","law","good",1
"401","wife","sister",1
"402","sister","brother",1
"403","come","gather",1
"404","rule","regul",1
"405","regul","white",1
"406","take","mother",1
"407","tree","beet",1
"408","wife","brother",1
"409","brother","far",1
"410","idea","thank",1
"411","regul","man",1
"412","live","dose",1
"413","race","law",1
"414","good","dose",1
"415","like","color",1
"416","race","take",1
"417","mother","hang",1
"418","beet","death",1
"419","sister","far",1
"420","rule","white",1
"421","color","law",1
"422","race","good",1
"423","law","dose",1
"424","like","race",1
"425","color","take",1
"426","hang","tree",1
"427","death","wife",1
"428","wife","far",1
"429","person","comment",1
"430","enter","mix",1
"431","find","soldier",1
"432","like","see",1
"433","see","enter",1
"434","comment","questionnair",1
"435","see","mix",1
"436","person","questionnair",1
"437","like","enter",1
"438","mix","find",1
"439","armi","work",1
"440","health","believ",1
"441","work","home",1
"442","help","armi",1
"443","armi","home",1
"444","help","work",1
"445","thing","disprov",1
"446","disprov","armi",1
"447","armi","fault",1
"448","dai","think",1
"449","negro","soldier",1
"450","phiscal","condit",1
"451","littl","medic",1
"452","medic","attent",1
"453","present","condit",1
"454","arm","forc",1
"455","like","much",1
"456","much","get",1
"457","littl","attent",1
"458","outfit","abl",1
"459","abl","get",1
"460","soldier","like",1
"461","condit","premit",1
"462","outfit","posit",1
"463","posit","branch",1
"464","branch","arm",1
"465","negro","like",1
"466","like","get",1
"467","get","phiscal",1
"468","phiscal","premit",1
"469","attent","outfit",1
"470","outfit","get",1
"471","condit","outfit",1
"472","branch","forc",1
"473","armi","suffer",1
"474","suffer","leg",1
"475","short","on",1
"476","hard","punish",1
"477","good","health",1
"478","marri","life",1
"479","mind","fight",1
"480","swell","life",1
"481","try","make",1
"482","make","forget",1
"483","forget","home",1
"484","make","swell",1
"485","expos","hard",1
"486","punish","bodi",1
"487","carri","marri",1
"488","life","carri",1
"489","home","imposs",1
"490","make","life",1
"491","expos","punish",1
"492","hard","bodi",1
"493","bodi","mind",1
"494","carri","life",1
"495","marri","carri",1
"496","look","try",1
"497","try","forget",1
"498","make","home",1
"499","job","make",1
"500","good","thing",2
"501","negro","soldier",2
"502","consid","questionnair",2
"503","questionnair","good",2
"504","opinion","negro",2
"505","give","consider",2
"506","questionnair","thing",2
"507","opinion","soldier",2
"508","soldier","give",2
"509","consid","good",2
"510","thing","happen",2
"511","negro","give",2
"512","consider","possibl",2
"513","possibl","consid",1
"514","possibl","questionnair",1
"515","like","question",1
"516","question","o.k.",1
"517","questionnair","right",1
"518","right","like",1
"519","nise","place",1
"520","civilian","life",1
"521","walk","pride",1
"522","bodi","help",1
"523","win","war",1
"524","make","walk",1
"525","home","bodi",1
"526","help","soldier",1
"527","live","civilian",1
"528","make","pride",1
"529","pride","bodi",1
"530","home","help",1
"531","bodi","soldier",1
"532","armi","nise",1
"533","place","fun",1
"534","war","help",1
"535","help","live",1
"536","live","life",1
"537","walk","bodi",1
"538","bodi","home",1
"539","frank","opinion",1
"540","mighti","power",1
"541","peac","time",1
"542","time","soldier",1
"543","heart","want",1
"544","ask","give",1
"545","give","honest",1
"546","honest","frank",1
"547","feel","confid",1
"548","like","armi",1
"549","peac","soldier",1
"550","soldier","let",1
"551","hope","prai",1
"552","want","murder",1
"553","murder","kill",1
"554","try","win",1
"555","honest","opinion",1
"556","opinion","armi",1
"557","armi","war",1
"558","effect","negro",1
"559","confid","inform",1
"560","inform","give",1
"561","give","true",1
"562","time","let",1
"563","let","hope",1
"564","prai","good",1
"565","heart","murder",1
"566","ask","honest",1
"567","give","frank",1
"568","frank","armi",1
"569","war","effect",1
"570","power","like",1
"571","armi","peac",1
"572","peac","let",1
"573","think","man",1
"574","man","heart",1
"575","want","kill",1
"576","kill","task",1
"577","good","thing",1
"578","color","soldier",1
"579","young","fellow",1
"580","help","win",1
"581","think","armi",1
"582","like","fight",1
"583","fight","kill",1
"584","live","armi",1
"585","think","white",1
"586","white","color",1
"587","soldier","mix",1
"588","let","man",1
"589","armi","get",1
"590","get","young",1
"591","fight","help",1
"592","win","war",1
"593","armi","good",1
"594","armi","right",1
"595","white","soldier",1
"596","color","mix",1
"597","think","let",1
"598","good","armi",1
"599","get","fellow",1
"600","fellow","fight",1
"601","fight","win",1
"602","help","war",1
"603","armi","thing",1
"604","like","kill",1
"605","kill","live",1
"606","think","color",1
"607","armi","young",1
"608","young","fight",1
"609","white","drive",1
"610","drive","truck",1
"611","color","shovel",1
"612","shovel","coal",1
"613","motor","pool",1
"614","white","soldier",1
"615","let","white",1
"616","white","truck",1
"617","ser","unit",1
"618","make","color",1
"619","color","coal",1
"620","get","job",1
"621","let","drive",1
"622","truck","ser",1
"623","unit","color",1
"624","color","make",1
"625","make","shovel",1
"626","coal","time",1
"627","negro","get",1
"628","job","motor",1
"629","part","countri",1
"630","feel","good",1
"631","good","negro",1
"632","let","truck",1
"633","drive","ser",1
"634","make","coal",1
"635","shovel","time",1
"636","job","pool",1
"637","pool","white",1
"638","soldier","part",1
"639","think","questionnair",2
"640","questionnair","give",2
"641","chanc","express",2
"642","express","lot",2
"643","lot","opinion",2
"644","like","express",2
"645","express","hope",2
"646","give","chanc",2
"647","think","give",2
"648","chanc","lot",2
"649","express","opinion",2
"650","opinion","like",2
"651","like","hope",2
"652","hope","help",2
"653","help","govern",2
"654","govern","think",1
"655","reason","man",1
"656","man","cooper",1
"657","reason","cooper",1
"658","fall","die",2
"659","die","democraci",2
"660","human","life",1
"661","hollow","victori",1
"662","white","solid",1
"663","solid","fall",1
"664","die","fight",1
"665","negro","soldier",1
"666","soldier","fall",1
"667","victor","belong",1
"668","good","wai",1
"669","white","race",1
"670","equal","right",1
"671","defeat","enemi",1
"672","enemi","forc",1
"673","life","hardship",1
"674","end","war",1
"675","white","fall",1
"676","fight","democraci",1
"677","negro","fall",1
"678","democraci","want",1
"679","want","enjoi",1
"680","belong","spoil",1
"681","street","make",1
"682","make","liiv",1
"683","liiv","good",1
"684","race","get",1
"685","uniform","us",1
"686","forc","surrend",1
"687","cost","human",1
"688","human","hardship",1
"689","hardship","find",1
"690","find","hollow",1
"691","war","war",1
"692","war","end",1
"693","war","victori",1
"694","victori","complet",1
"695","victori","win",1
"696","victor","spoil",1
"697","spoil","negro",1
"698","negro","push",1
"699","liiv","wai",1
"700","white","get",1
"701","get","benefit",1
"702","benefit","victori",1
"703","wear","uniform",1
"704","us","equip",1
"705","equip","white",1
"706","defeat","forc",1
"707","consid","cost",1
"708","cost","life",1
"709","find","victori",1
"710","victori","war",1
"711","solid","die",1
"712","fall","fight",1
"713","enjoi","negro",1
"714","soldier","die",1
"715","democraci","enjoi",1
"716","push","street",1
"717","street","liiv",1
"718","make","good",1
"719","race","wear",1
"720","white","die",1
"721","build","nation",1
"722","nation","mush",1
"723","race","fight",1
"724","mush","race",1
"725","fight","war",1
"726","build","mush",1
"727","war","fight",1
"728","fight","true",1
"729","trust","wai",1
"730","fight","pull",1
"731","right","els",1
"732","fight","thing",1
"733","countri","fight",1
"734","good","command",1
"735","command","offic",1
"736","civilian","life",1
"737","good","offic",1
"738","lutin","swell",1
"739","offic","lutin",1
"740","command","lutin",1
"741","armi","civilian",1
"742","excel","idea",1
"743","test","excel",1
"744","give","test",1
"745","test","idea",1
"746","good","idea",1
"747","soldier","train",1
"748","train","send",1
"749","send","combat",1
"750","idea","soldier",1
"751","soldier","send",1
"752","outfit","job",1
"753","think","negro",2
"754","good","point",1
"755","good","chanc",1
"756","doubl","victori",1
"757","abl","lead",1
"758","lead","white",1
"759","white","color",1
"760","want","doubl",1
"761","bad","think",1
"762","chanc","armi",1
"763","armi","think",1
"764","negro","abl",1
"765","want","victori",1
"766","armi","good",1
"767","point","bad",1
"768","negro","good",1
"769","good","armi",1
"770","abl","white",1
"771","lead","color",1
"772","die","countri",2
"773","interest","questionnair",1
"774","servic","club",1
"775","mind","die",1
"776","resend","defend",1
"777","daughter","bring",1
"778","like","sai",1
"779","white","negro",1
"780","negro","mix",1
"781","war","end",1
"782","wish","sai",1
"783","readi","die",1
"784","sai","white",1
"785","countri","folk",1
"786","reason","world",1
"787","countri","world",1
"788","world","like",1
"789","white","mix",1
"790","mix","servic",1
"791","club","war",1
"792","mind","countri",1
"793","world","resend",1
"794","defend","bastard",1
"795","countri","think",1
"796","think","countri",1
"797","like","daughter",1
"798","goot","idea",1
"799","idea","get",1
"800","goot","get",1
"801","get","oppion",1
"802","readi","arlet",1
"803","idea","oppion",1
"804","oppion","soldier",1
"805","leav","sea",1
"806","goot","oppion",1
"807","soldier","leav",1
"808","sea","readi",1
"809","arlet","gladd",1
"810","good","idea",1
"811","white","peopl",1
"812","peopl","fine",1
"813","good","place",1
"814","think","idea",1
"815","soldier","give",1
"816","give","opinion",1
"817","white","fine",1
"818","place","live",1
"819","servic","try",1
"820","good","negro",1
"821","good","live",1
"822","idea","soldier",1
"823","soldier","opinion",1
"824","opinion","good",1
"825","idea","ask",1
"826","negro","world",1
"827","world","good",1
"828","treat","negro",2
"829","white","peopl",1
"830","peopl","treat",1
"831","treat","right",1
"832","stop","lichi",1
"833","white","treat",1
"834","right","stop",1
"835","win","war",1
"836","negro","human",1
"837","spirit","fight",1
"838","fight","time",1
"839","win","wai",1
"840","think","war",1
"841","war","white",1
"842","peopl","negro",1
"843","negro","treat",1
"844","treat","stop",1
"845","right","lichi",1
"846","time","fight",1
"847","wai","sure",1
"848","war","peopl",1
"849","white","negro",1
"850","negro","right",1
"851","treat","lichi",1
"852","lichi","win",1
"853","treat","human",1
"854","spirit","time",1
"855","frank","opinion",2
"856","soldier","fight",2
"857","fight","hard",2
"858","question","soldier",2
"859","consider","give",2
"860","privileg","help",2
"861","help","make",2
"862","make","soldier",2
"863","soldier","hard",2
"864","obviou","know",2
"865","know","question",2
"866","take","consider",2
"867","give","break",2
"868","break","privileg",2
"869","make","fight",2
"870","hard","thing",2
"871","fight","treat",2
"872","ask","frank",2
"873","opinion","take",2
"874","privileg","make",2
"875","help","soldier",2
"876","make","hard",2
"877","fight","thing",2
"878","question","color",1
"879","color","soldier",1
"880","question","color",1
"881","color","soldier",1
"882","thing","sai",1
"883","express","opinion",1
"884","sentiment","carri",1
"885","thing","pai",1
"886","sai","fight",1
"887","opinion","know",1
"888","know","sentiment",1
"889","man","outfit",1
"890","outfit","obviou",1
"891","pai","fight",1
"892","know","color",1
"893","want","express",1
"894","know","color",1
"895","soldier","ask",1
"896","soldier","get",3
"897","color","soldier",2
"898","white","soldier",2
"899","white","get",2
"900","equal","break",1
"901","get","equal",1
"902","break","white",1
"903","get","privileg",1
"904","get","break",1
"905","equal","white",1
"906","break","soldier",1
"907","get","white",1
"908","soldier","privileg",1
"909","privileg","color",1
"910","color","get",1
"911","equal","soldier",1
"912","break","get",1
"913","soldier","white",1
"914","get","soldier",1
"915","white","privileg",1
"916","privileg","soldier",1
"917","northern","offic",1
"918","take","order",1
"919","high","rank",1
"920","rank","offic",1
"921","wai","negro",1
"922","negro","treat",1
"923","north","northern",1
"924","power","white",1
"925","order","white",1
"926","case","high",1
"927","high","offic",1
"928","give","life",1
"929","treat","section",1
"930","section","countri",1
"931","good","north",1
"932","north","offic",1
"933","offic","power",1
"934","take","white",1
"935","case","rank",1
"936","life","countri",1
"937","american","war",1
"938","wai","treat",1
"939","case","offic",1
"940","offic","give",1
"941","insist","treat",1
"942","treat","american",1
"943","batteri","command",1
"944","strict","man",1
"945","care","much",1
"946","color","peopl",1
"947","give","rate",1
"948","certain","thing",1
"949","good","soldier",1
"950","u.s.","armi",1
"951","much","color",1
"952","soldier","deserv",1
"953","deserv","rate",1
"954","kind","thank",1
"955","care","color",1
"956","much","peopl",1
"957","abil","certain",1
"958","good","deserv",1
"959","rate","kind",1
"960","thank","soldier",1
"961","soldier","u.s.",1
"962","command","strict",1
"963","man","care",1
"964","care","peopl",1
"965","believ","abil",1
"966","abil","thing",1
"967","thing","good",1
"968","soldier","rate",1
"969","soldier","armi",1
"970","begin","beat",2
"971","wear","state",1
"972","state","polex",1
"973","polex","button",1
"974","paper","todai",1
"975","color","soldier",1
"976","cafe","pass",1
"977","pass","lick",1
"978","law","see",1
"979","white","man",1
"980","truck","see",1
"981","iron","bar",1
"982","stand","watch",1
"983","blood","drop",1
"984","see","col",1
"985","give","equal",1
"986","wear","polex",1
"987","state","button",1
"988","law","miss",1
"989","read","articl",1
"990","soldier","col",1
"991","col","woman",1
"992","cafe","lick",1
"993","lick","blow",1
"994","see","come",1
"995","beat","col",1
"996","man","pass",1
"997","see","stop",1
"998","stop","come",1
"999","bar","begin",1
"1000","beat","soldier",1
"1001","law","stand",1
"1002","watch","soldier",1
"1003","soldier","blood",1
"1004","hope","live",1
"1005","live","see",1
"1006","col","peopl",1
"1007","peopl","give",1
"1008","think","right",1
"1009","right","negro",1
"1010","bad","war",1
"1011","war","miss",1
"1012","leader","wear",1
"1013","wear","button",1
"1014","button","law",1
"1015","articl","paper",1
"1016","color","col",1
"1017","woman","cafe",1
"1018","pass","blow",1
"1019","blow","law",1
"1020","law","come",1
"1021","blackjack","white",1
"1022","white","pass",1
"1023","pass","truck",1
"1024","truck","stop",1
"1025","iron","begin",1
"1026","bar","beat",1
"1027","begin","soldier",1
"1028","soldier","law",1
"1029","law","watch",1
"1030","stand","soldier",1
"1031","soldier","drop",1
"1032","drop","street",1
"1033","sir","hope",1
"1034","live","col",1
"1035","see","peopl",1
"1036","peopl","equal",1
"1037","equal","u.s.",1
"1038","miss","lyncher",1
"1039","lyncher","leader",1
"1040","leader","state",1
"1041","polex","law",1
"1042","lyncher","read",1
"1043","articl","todai",1
"1044","soldier","woman",1
"1045","woman","pass",1
"1046","cafe","blow",1
"1047","blow","see",1
"1048","come","begin",1
"1049","begin","col",1
"1050","head","blackjack",1
"1051","blackjack","man",1
"1052","pass","see",1
"1053","see","come",1
"1054","come","iron",1
"1055","iron","beat",1
"1056","watch","blood",1
"1057","blood","street",1
"1058","street","attemp",1
"1059","hope","see",1
"1060","col","give",1
"1061","give","u.s.",1
"1062","get","white",1
"1063","hard","get",1
"1064","white","negro",1
"1065","negro","stai",1
"1066","hard","white",1
"1067","get","negro",1
"1068","stai","fight",1
"1069","white","stai",1
"1070","differ","camp",1
"1071","right","negro",1
"1072","equal","chanc",1
"1073","chanc","speak",1
"1074","think","right",1
"1075","south","prison",1
"1076","treat","better",1
"1077","hope","see",1
"1078","see","dai",1
"1079","speak","think",1
"1080","think","negro",1
"1081","negro","south",1
"1082","line","treat",1
"1083","right","south",1
"1084","prison","line",1
"1085","better","hope",1
"1086","hope","dai",1
"1087","negro","lieuten",1
"1088","treat","good",1
"1089","lieuten","believ",1
"1090","like","negro",1
"1091","negro","believ",1
"1092","believ","treat",1
"1093","like","lieuten",1
"1094","believ","good",1
"1095","main","thing",1
"1096","jim","crow",1
"1097","good","negro",1
"1098","negro","soldier",1
"1099","white","hous",1
"1100","good","fight",1
"1101","fight","soldier",1
"1102","g.i.","shoe",1
"1103","make","clear",1
"1104","try","sai",1
"1105","good","soldier",1
"1106","good","soldier",1
"1107","soldier","stand",1
"1108","pair","g.i.",1
"1109","chanc","see",1
"1110","know","make",1
"1111","thing","try",1
"1112","peopl","white",1
"1113","fight","stand",1
"1114","pair","shoe",1
"1115","believ","give",1
"1116","give","chanc",1
"1117","main","try",1
"1118","peopl","hous",1
"1119","good","stand",1
"1120","stand","pair",1
"1121","know","comment",1
"1122","comment","sai",1
"1123","good","thing",1
"1124","thing","concern",1
"1125","come","true",1
"1126","usual","thing",1
"1127","concern","negro",1
"1128","wast","time",1
"1129","thing","sai",1
"1130","like","armi",1
"1131","thing","wait",1
"1132","wait","durat",1
"1133","durat","month",1
"1134","month","survei",1
"1135","survei","good",1
"1136","usual","concern",1
"1137","thing","negro",1
"1138","negro","look",1
"1139","seem","wast",1
"1140","time","thing",1
"1141","sai","opinion",1
"1142","true","like",1
"1143","survei","thing",1
"1144","thing","usual",1
"1145","come","like",1
"1146","arrang","white",1
"1147","man","arrang",1
"1148","white","color",1
"1149","differ","man",1
"1150","man","white",1
"1151","arrang","color",1
"1152","prejudic","side",1
"1153","color","fight",1
"1154","necessari","fight",1
"1155","troubl","bodi",1
"1156","bodi","seem",1
"1157","seem","willin",1
"1158","willin","lever",1
"1159","lever","lever",1
"1160","batteri","command",2
"1161","live","speak",2
"1162","command","like",2
"1163","batteri","like",2
"1164","like","color",1
"1165","color","soldier",1
"1166","southern","wai",1
"1167","color","offic",1
"1168","let","live",1
"1169","think","much",1
"1170","color","superior",1
"1171","superior","offic",1
"1172","white","man",1
"1173","like","soldier",1
"1174","like","see",1
"1175","believ","color",1
"1176","chanc","live",1
"1177","live","let",1
"1178","let","speak",1
"1179","like","color",1
"1180","color","offic",1
"1181","give","life",1
"1182","command","chief",1
"1183","chief","dai",1
"1184","south","southern",1
"1185","believ","offic",1
"1186","feel","lie",1
"1187","lie","chanc",1
"1188","live","live",1
"1189","speak","whole",1
"1190","much","batteri",1
"1191","like","superior",1
"1192","man","give",1
"1193","life","command",1
"1194","dai","support",1
"1195","support","famili",1
"1196","command","color",1
"1197","south","wai",1
"1198","wai","like",1
"1199","see","recreat",1
"1200","recreat","believ",1
"1201","chanc","let",1
"1202","live","whole",1
"1203","whole","think",1
"1204","think","batteri",1
"1205","much","command",1
"1206","like","offic",1
"1207","offic","white",1
"1208","white","give",1
"1209","command","dai",1
"1210","question","kind",1
"1211","kind","unfair",1
"1212","unfair","hard",1
"1213","hard","answer",1
"1214","question","questionnair",1
"1215","question","unfair",1
"1216","kind","hard",1
"1217","unfair","answer",1
"1218","thought","questionnari",1
"1219","questionnari","hope",1
"1220","help","win",1
"1221","help","solv",1
"1222","racial","problem",1
"1223","thought","hope",1
"1224","hope","think",1
"1225","think","help",1
"1226","win","war",1
"1227","solv","racial",1
"1228","questionnari","think",1
"1229","think","win",1
"1230","help","war",1
"1231","help","racial",1
"1232","solv","problem",1
"1233","problem","thank",1
"1234","thought","think",1
"1235","hope","help",1
"1236","help","problem",1
"1237","racial","thank",1
"1238","peopl","get",2
"1239","white","peopl",2
"1240","color","peopl",1
"1241","color","peopl",1
"1242","color","get",1
"1243","get","fight",1
"1244","color","get",1
"1245","get","come",1
"1246","exampl","lynch",1
"1247","peopl","fight",1
"1248","flag","belong",1
"1249","belong","white",1
"1250","peopl","come",1
"1251","come","white",1
"1252","color","fight",1
"1253","belong","peopl",1
"1254","peopl","color",1
"1255","color","come",1
"1256","come","peopl",1
"1257","peopl","sai",1
"1258","white","soldier",2
"1259","think","white",1
"1260","color","soldier",1
"1261","south","see",1
"1262","white","color",1
"1263","see","call",1
"1264","want","fight",1
"1265","think","color",1
"1266","soldier","south",1
"1267","south","call",1
"1268","ladi","want",1
"1269","think","soldier",1
"1270","misunderstand","white",1
"1271","white","south",1
"1272","soldier","see",1
"1273","call","ladi",1
"1274","feel","negro",2
"1275","opportun","white",2
"1276","opportun","negro",1
"1277","officr","seem",1
"1278","stamen","necessari",1
"1279","becom","offic",1
"1280","mani","instanc",1
"1281","give","white",1
"1282","white","soldier",1
"1283","negro","civilian",1
"1284","white","civilian",1
"1285","oppos","segreg",1
"1286","care","associ",1
"1287","associ","white",1
"1288","give","mass",1
"1289","group","chanc",1
"1290","chanc","mingl",1
"1291","good","bad",1
