"","id","subject_id","image_name","document_type","q85"
"23",22,"15901920","2521127-37-0023.jpg","A document that contains Q.85","Before the Army, I drove an Army truck, worked my farm and kept many defense cars rolling by working Sundays at a gas station. Now since I've been in the army I have not contributed anything toward the war effort. I've gone through the training and tried to be a soldier but by having only one eye and rheumatism I don't seem to fit in any activated units. So as I see it, I'd be helping at home, while here, I'm only costing the govt. money. But in spite of my personal feelings anything I'm asked I will do, Only I'd like to be able to put my heart in it. "
"24",23,"15901925","2521127-37-0024.jpg","A document that contains Q.85","A suspect I will stay in the army after the war thank you very much. "
"25",24,"15901936","2521127-37-0025.jpg","A document that contains Q.85","I hope that thing will be better for ever on with kids "
"26",25,"15901943","2521127-37-0026.jpg","A document that contains Q.85","I think the United States should keep more  men  trained for protection at all times in the army. "
"27",26,"15901952","2521127-37-0027.jpg","A document that contains Q.85","I think the government should clear up the intolerable conditions in the south.  "
"28",27,"15901965","2521127-37-0028.jpg","A document that contains Q.85","I hope that conditions after this war do not get to the point they did during the past depression. If the government can I hope they will do something to keep things going smooth. "
"29",28,"15901971","2521127-37-0029.jpg","A document that contains Q.85","The only comment I have is this: I have found that the Army makes a big mistake in leading its northern boys to Southern camps. It is quite obvious, that the Southern boys in the Service resents the northern boy and vice versa therefore there will always be that constant friction between the two. I also believe that White Officers resent commanding negro troops and a lot of negro troops resent White Officers. Why not have negro troops commanded by Negro Officers, the same for the White soldiers. Give them their very people to command them. Once that feeling of prejudiceness and Race Hatred is broken down I feel quite confident that the whole country as a whole will be a better place to live in. "
"30",29,"15901977","2521127-37-0030.jpg","A document that contains Q.85","After the war is over I was wondering if the Southern Negro or the Negro in general will have a better chance for advancement after the war and that he'll be treated with respect due any person of the human race. Especially in the south we Negroes will have liberty and justice. When the war is over, I think there should be a plan drawn up whereas a man after having been in service and served as best he could be considered by being helped to get back on his feet. By getting on his feet, I mean Help him build and get a decent job. This tends to elevate the standards of the country. "
"31",30,"15901987","2521127-37-0031.jpg","A document that contains Q.85","If my answers to some of these questions are a bit confused its because I too am confused because of my color, I cannot say what I would definitely do after the war.  The things we're fighting for are being denied us here in the U.S.A.  I would like to see all get jobs regardless of color or religion All have the rights, freedoms and protection as the Constitution of the U.S.A. gives us. "
"32",31,"15901996","2521127-37-0032.jpg","A document that contains Q.85","I think the boys have done a swell job in this war both white & colored boys. I also think that the Bill of rights should go into effect immediately. And that everyone should have an equal chance to prove his or her ability. I suggest that the men that are not to old and that are physically fit that has not had previous training should be the ones that should be in the Regular Army after the war, because the boys in this war has really missed a lot in life and should have time to make up for all of this lost time. There are a few people that really does what its all about. Give them a taste of this life and let them see what I really mean. Be sure that this we don't be caught napping as we were during Pearl Harbor and I think we will have lasting peace.  "
"33",32,"15902003","2521127-37-0033.jpg","A document that contains Q.85","It is my belief that conditions in the U.S. will stay on the up after the war and prosperity will enter our homes. One can always tell when prosperity is around for that's the time the Repub. come in and the Dem. go out which seems in the process of happening now. Possibly in the next eight or ten years there will be another depression. The harbinger of this is usually the outbreaking of disturbances in the European countries as well as the Asiatic. It's because of these things which seem bound to happen that some powerful organ should be set up with full powers to rule over such disturbances until this part of the business cycle is past. I believe this for when people are happy with prosperity and are busy taking in the revenues they have not the time nor the state of mind to enter disturbances. "
"34",33,"15902010","2521127-37-0034.jpg","A document that contains Q.85","I have nothing to say against the Army functions, only I would like to return home as soon as possible "
"35",34,"15902021","2521127-37-0035.jpg","A document that contains Q.85","Every man should be given a chance to fill his particular place in the world regardless of race or color. They should be allowed an even chance. Men who suffered in the Army or punished themselves should be properly compensated in order that they will have a fighting chance to survive in the free world. Thus check up should be made of all camps for men who are realy unable to carry on in the Army who are being held there for no good use at all to the Army as a whole. And the 4Es should be given a chance to experience some military training etc. "
"36",35,"15902026","2521127-37-0036.jpg","A document that contains Q.85","I don't think the conditions will be good for an ex soldier such wages will be cut despite from civelands about good paying jobs most soldiers will get a bad brake expecilly in the South on thos conditions, it will be hard for a colored soldier in the south. "
"37",36,"15902033","2521127-37-0037.jpg","A document that contains Q.85","In the Army of the United States I see no need for racial hatred. In the Army of the United States I see no need for the holding down of any man who is capable of filling the job that he might be applying for. "
"38",37,"15902040","2521127-37-0038.jpg","A document that contains Q.85","Will the Negro Soldier be place along site of the white soldier? And will he get equal advantages to advance forward if he desires to do so? Since part of my race are of the illiterate nature will this be a drawback? The Army has held us back in many way will it help us when we are able to get out after the war? Why aren't we treated with the respect due us? "
"39",38,"15902046","2521127-37-0039.jpg","A document that contains Q.85","There are many men who have given their lives for their country which has not treated them at all fair. We who suffer and come out of this war alive must see that we get what we are fighting and dying for. "
"40",39,"15902052","2521127-37-0040.jpg","A document that contains Q.85","I think that the Army should give the Negro soldier a better chance allow the qualified ones to enter into the branches for which they are best qualified. Abolish segregation and put Negro officers with more Negro troops. The government of the U.S. should adopt a definite policy and program for their intentions toward the negro. Mabe it compulsory for the Southern states to educate negros. I believe the only way to promote good feeling and trust between the white and black race is thru education. It is an insult to the intelligent negro to be put in the Service commission of the PM. Corps, labor battallions etc. In order for the Army to procure better morale it should abolish this practice. After all, we all are fighting for the same thing. Lets fight together. "
"41",40,"15902092","2521127-37-0041.jpg","A document that contains Q.85","If the proper application of ""democracy"" in the true dictionary definition were applied very day as far as race, creed, color or religious tolerance are concerned the United States, U.S. Army and certain sections (geographically) of the U.S. would fare 100% better toward the ideal ""utopian form of gov't [government] we all dream about""  If negro officers were allowed to command white troops and waive aside the army precedent or custom of ""No Negroes will never command white troops"" Also to keep sectionalized minded persons in their own sections if they are not willing to foster and champion the ideals and customs of a ""true democratic nation"" "
"42",41,"15902097","2521127-37-0042.jpg","A document that contains Q.85","In order to have long lasting peace and to avoid a 2nd Civil War - would like to see democracy in its true form carried out.  Also think large manufacturing firms should collaborate with government officials on post war employment. "
"43",42,"15902103","2521127-37-0043.jpg","A document that contains Q.85","After the war I would like to see the soldiers get a fair break. And be considered first for the better jobs they have to offer.  I would also like to see the colored man get a break, and stop all of this foolishness about Jim Crow, and let a man be a man regardless of his color or religious faith. If he is given equal opportunities I'm sure he'll prove worthy of it. "
"44",43,"15902111","2521127-37-0044.jpg","A document that contains Q.85","I think a Service man should be given every opportunity of re-establishing himself after the war that is possible such as a good Job, and a chance to return to School if he desire to and also loan him financial aid if necessary to help him with his plans and further more I think men's over 30 yrs of age should be released from Service because they can not make the Soldier that the U.S. is calling for in the mechanical age of the war. "
"45",44,"15902117","2521127-37-0045.jpg","A document that contains Q.85","I think men leaving the army should not have any trouble getting their jobs back when they are released and there should be some way of making this explain taking them if they gave good service before. "
"46",45,"15902127","2521127-37-0046.jpg","A document that contains Q.85","After the war if the negros will have a chance & will in new things will be as good because they are serving as hard as any one else & are far out. "
"47",46,"15902134","2521127-37-0047.jpg","A document that contains Q.85","Before I was old enough to be in the army I saw posters saying ""Uncle Sam needs youth"" Well, I volunteered for the army. I had three mos of school and then I was sent to a service company. I think there are better places in the Army fir the youth of this country because they are better as combat troops than older men who cannot stand up under the strain. I think the youth should get a better break and see more action. "
"48",47,"15902142","2521127-37-0048.jpg","A document that contains Q.85","Post-War Democracy for The Negro  Personally, I think this the second world war is a betterment for the black man in some places, that the negro has in some ways show that he is capable and efficient as the other races, that is in the field aeronautics, radio, engeneering etc. and some have been given the chance, but not enough, From close observation, I have noticed that the majority of the nego troops are attached to labor battallions and not given the right to show his ability to do more than just work, although some are capable of doing things more suitable than manul labor, I think the army should deplore this horrible practice and give the American Negro an equal opportunity to advance in a more field than [underline] manual labor [/underline] .  "
"49",48,"15902150","2521127-37-0049.jpg","A document that contains Q.85","Well after the war I hope a soldier gets a chance to earn a good living for his loved ones. And I hope that everyone whether he was in the army or not get a fair break. And I hope that every race is given as equal a break as the next race. I do believe that there will be enough work for everyone after the war. In one way to remedy this is to have all women that are working for their own soul [sole] support be allowed to work on but those who have husbands working be laid off to make room for some man that isn't working so able to take care of his family. I am hoping for the best to come for I believe everyone deserves to be contented to a certain extent after a war. For in more ways than one a war hurts everyone. "
"50",49,"15902159","2521127-37-0050.jpg","A document that contains Q.85","I am deeply concerned as to whether the ex-service man will have the chance to return to his old job or if another one equally as eficient [efficient] could be obtained. Also if the southern Negro and not only the Southern Negro but all Negroes be treated and respected as all peoples[people] of the world should be. This way being the true Democratic Way with liberty and justice for all. "
"51",50,"15902166","2521127-37-0051.jpg","A document that contains Q.85","On a whole the race problem [insertion] in the army [/insertion] is handled very poorly by the federal Gov. and after the war if there isn't some changes made, the country as a whole will suffer. "
"52",51,"15902174","2521127-37-0052.jpg","A document that contains Q.85","I don't like the  Co. I would like to be in the paratrooper and put in for a transfer but it was turned down. The reason O was told for not accepting my transfer, was it was to late. "
"53",52,"15902182","2521127-37-0053.jpg","A document that contains Q.85","I think the condition of the United States would be better if they live up to there tradition giving each man a equal chance. Regardless to creed and color. Refer to the Lincoln Gettysburg Address. It was fore score and ten our fore fathers broth forth an new nation So dicitaled that all men are created equal. Regardless of Creed and Color. Give each man that walk the continent of the the United States a fare chance. If he is Citizen of the US States. "
"54",53,"15902188","2521127-37-0054.jpg","A document that contains Q.85","I think the United States should give each man who served in the army forces enough money to open a business or buy a home. Every soldier should have more privilege regardless of color. The negro soldier should be special given consideration. Negroes should be given a chance to serve in any government job: not only the Negroe soldiers in the arm forces but all other negroes. The bill of rights should be enforce regardless what color a man may be. We all fighting for a common cause so after the war less live as one. "
"55",54,"15902195","2521127-37-0055.jpg","A document that contains Q.85","As a representative of the largest minority I am in doubt as to the benefits the colored man will receive after the war is over. At present I'm of the opinion that none of us are justified by serving outside the limits of the United States. As I see it, the fight with Germany is fundamentally for the preservation of Democracy. Democracy is a principle never fully realized by us. Many have been denied the right of popular vote which is the basis of democracy. Discriminative conditions present themselves all over the country. So our present fight for democracy is sort of ridiculous.  In fighting Japan the main issue seems to be, ""The maintenance of white supremacy"" Again that is, to me, a ridiculous objective. I'm of the opinion no man, regardless of color, is superior to me or in prospective to my race. That is probably the main reason of the discrimination shows my race by the ""White America"". They are aware we are socially, mentally, physically and spiritually their equals or better. This jealousy may make life after the war considerably tougher, than maybe on the other hand, our merits may be justly awarded.   "
"56",55,"15902201","2521127-37-0056.jpg","A document that contains Q.85","I find life in the Army some what difficult for as a man applying himself for what he trains that he can do best. My experiences in the Army I found especially in the enlisted rank and Also in the Commissioned Off. rank a great deal of  illiterates  the key position such as 1st Sgt etc men who are not capable of thinking any further than their monthly salary. Who take delight in trying to keep ones better qualified from succeeding. Also the Army does not provide enough protection for men when on leave in local cities especially in the South where civilian local authorities persecute soldiers terrible for trivial misdemeanors. Such penalties should be abolish such conditions exists in cities Columbus Georgia  Dolia  Ala, Jacksonville, Fla. etc. These should be remedied after war definitely if not paid  "
"57",56,"15902211","2521127-37-0057.jpg","A document that contains Q.85","I am hoping that after this war it will be a better place to live in. I am hoping that we can work together. The Bible say in one place that we are labor together with God. And hope that boy will get back home. "
"58",57,"15902219","2521127-37-0058.jpg","A document that contains Q.85","I feel that all the large industries which may be employing a large number of people should work hand in hand with the War Department in securing ex-servicemen the first choice of job.  And  that they should be more democratic as far as jobs and living conditions are concerned. "
"59",58,"15902227","2521127-37-0059.jpg","A document that contains Q.85","I looking to be released as quick as possible so I can get back to my school work before I get to old or at least feel I am to old to be in school. "
"60",59,"15902233","2521127-37-0060.jpg","A document that contains Q.85","I think at the present I'm doing all right as and the army is giving me as a much of a chance as the next man "
"61",60,"15902242","2521127-37-0061.jpg","A document that contains Q.85","The Army as a whole is a fine organization but there are certain things that are with held from certain parts of the Service with-out the knowledge of the War Department.  There are certain other things that are going on in the Army that the War Department is turning a deaf ear to the facts. If things remain as they are now when the enl. [enlisted] service men are home there will be problems that will take from three to four years to settle. As long as it took the War Department to get some-things legalized some experience men will go in need of lots of jobs. "
"62",61,"15902253","2521127-37-0062.jpg","A document that contains Q.85","There should be more freedom for Colored people over the entire universe stop all segregation and apply the Atlantic Charter to all colored people especially Africa and India "
"63",62,"15902260","2521127-37-0063.jpg","A document that contains Q.85","No only one thing when the Atlantic Charter comes out for what we are fighting for please include the Colored Countries in it as well as the white. "
"64",63,"15902268","2521127-37-0064.jpg","A document that contains Q.85","It is my belief that certain problems and conditions, which have been subornated, due to the war, should be solved for the betterment of all concerned. Also a system of Education, should be set up or established, which will enable the Educational Authorities to prepare standards and curriculum for a standard education for the majority of people. [para] Also the federal gov. should have more to do with the educational system of the states. That the public should be given more info - in regards to the role the Negro Soldier is playing in this war, that war correspondents should include some reports as to what Negro Troops are doing. Are they doing a good job, Are they dieing, or what not. We should know, for even with all the  lump  pressed upon those concerned, I'm proud of the Uniform, and broadminded enough to know that I have something to fight for? but are the other fellows broadminded? to that Point? "
"65",64,"15902276","2521127-37-0065.jpg","A document that contains Q.85","I have some leadership ability I know, but some other  people may not think that I have much. Nevertheless, I have had the advantage of college training which makes me a better soldier than some men who have only had 1 or 2 years of grammar school. Yet I and many others like me don't get a fair ""break"" or share of the jobs that should require ability. The man who is the most backward gets these jobs. Reason: Many outfits, like mine, are officered by white personnel. They had rather give a dumb man a break than  one who has had good training. Further, I think that more Negro outfits should be officered by colored officers. I know many men qualified to be officers. "
"66",65,"15902287","2521127-37-0066.jpg","A document that contains Q.85","If the United State opposes dislike the way the Germans treat the Jews and men of the conqued [conquered] nations why do they stand for race segregation on army posts and allow civilians to kill negro service men in the South and get away with it If negros [Negroes] are fighting for freedom. Why can't thay [they] have it in Southern states it is a part of the United States. Why are it so that most negros [Negroes] are in the Q. M. "
"67",66,"15902291","2521127-37-0067.jpg","A document that contains Q.85","I think the Government should get jobs for ex-service me when the war is over and I think men who has been in the army the longest should get out first and until familys single men with over sea service second   "
"68",67,"15902300","2521127-37-0068.jpg","A document that contains Q.85","To the best of my knowledge I believe I have been treated fair in some ways and poor in another. I have not decided for certain yet for what I will do after the war. "
"69",68,"15903806","2521127-37-0223.jpg","A document that contains Q.85","If I can give some service in one or two fields the army offers then why last & go to the beach instead of trying to do something that I cannot hold out doing, but as it is I will do my best and that is a hold back to my Co. because I can only made a attemp and best face on the way. Other wise there are jobs that I have been doing every since & then in army, and did fair I think but I hant ben taken away years that. "
"70",69,"15903814","2521127-37-0224.jpg","A document that contains Q.85","Just a little more thinking. "
"71",70,"15903829","2521127-37-0225.jpg","A document that contains Q.85","Only that peace will be lasting and that the next generation won't have to go through what my father and I will have been through. "
"72",71,"15903841","2521127-37-0226.jpg","A document that contains Q.85","I think the Army should pay every one that wanted it to go to school "
"73",72,"15903856","2521127-37-0227.jpg","A document that contains Q.85","I would like to say that if the people of U.S. dont give up some of their selfishness and really get down to business then the whole country is going to suffer. Home coming veterans must be processed to the extent of making them somewhat satisfied yet we must not forget the 4F and others who didnt serve their country in the army. If we will begin now + plan to meet the great problem that will confront us after the war we will be doing a great deal toward the moulding of our country. Some of those problems will be employment, crime, divorces adjusting of individuals and racial conflicts which might result out of or them, employment "
"74",73,"15903867","2521127-37-0228.jpg","A document that contains Q.85","The army in my estimation gives some soldiers  buy   , and uncalled for freaks. The officers that I has served under in the last year, are definitely unqualified. The non coms are chosen without any consideration of wether they are qualified or efficient. I has noticed the moral of the present soldier is very low. Nothing at all like the ones of  '40  . The men in the companies that I have trans ferred to lately, have no cooperation what so ever, from those that are in position. From my conversation with my back from  , they are being treated badly considering what they have went through. The back fire  dont think it is fair at all. So much money was throwed away training men for one thing and giving him something else, and not use him for either although he qualified.  "
"75",74,"15903878","2521127-37-0229.jpg","A document that contains Q.85","My reason for thinking company clerks should be rated more is as I said before everything practically is ??? often by the clerk. If an organization have good clerk higher ranking Officers & NCO's worry about everything. For example if a certain report has to be out by a certain time. The CO Clerk will have to see that it gets out even if it takes working all night long and then if it goes through to higher officials and something may be wrong with it, it is ?? from the highest officers and down through channels to Co Clerk and all he has to use is the typewriter. We make all corrections and does most of the ??? and is marked Corporal for the duration. I think a little consideration should be given to the Company clerk. They carry every bodies troubles in his organization. Every E marks him about family troubles, passes allotments and everything in his service. So can't one see where they should have a little consideration officers do the same. "
"76",75,"15903890","2521127-37-0230.jpg","A document that contains Q.85","Determining from the foregoing statements, you may call ne a traitor to my country, a communist or merely an imbecile. I am none of these. I only wish to God I had a country I felt worthy enough to defend with my life. After the persecution and oppression practiced against the negro race I have little, if any at all, feelings for this country and the wise men who rule it in what they call a Democratic way. The newspapers and commentators tell us of the atrocities committed by the Japanese. Surely these atrocities are no greater than those contemplated by the American Southerners and practiced against the negro. It is true that I may die on a battlefield, but as sure as God is my witness I shall not die for the glory of the United States.  Johnston [soldier's name]  "
"77",76,"15903899","2521127-37-0231.jpg","A document that contains Q.85","I think that after the war the color people should have a better chance in the south than they had before the war. In some of the states in the south there should well very  then. "
"78",77,"15903911","2521127-37-0232.jpg","A document that contains Q.85","I think the soldiers with dependents should be at home; they are needed more at home than in the army. They are the ones should work in the war plants and the ones without families should make up the army. "
"79",78,"15903919","2521127-37-0233.jpg","A document that contains Q.85","Give every ex service man the  [underline] chance [/underline] regardless of race, color, or creed to improve his condition, socially[,] economically etc. "
"80",79,"15903931","2521127-37-0234.jpg","A document that contains Q.85","The army will give us all a chance to better our selves but i as an individual dont think my people will get what we should how the ever that isn't the way the army of U.S.A. mean it to be our fight will go on for years to come. [check mark]  "
"81",80,"15903945","2521127-37-0235.jpg","A document that contains Q.85","I don't think the army should be so severe on A.W.O.L.'s because as things exist now if a man is A.W.O.L. for four or five days, he is usely [usually] given six months in the guard - house plus a forfeit [insertion] of pay [/insertion] . If a man is so sentence and feels that he's being A.W.O.L. was of absolute necessity, he should be given another chance on the first offense, because any good intention he had about the army will be lost, and he will lose the respect for the army that [insertion] he [/insertion] once had, or most of it. For as you know the army is not suppose to be a prison but in some instances soldiers are treated worst than prisoners.  However I know that there must be some discpline [discipline] but it should be done by someone who [insertion] knows how to [/insertion] handle & treat all men equal and not stick to [too] close to rules & regulations. "
"82",81,"15903954","2521127-37-0236.jpg","A document that contains Q.85","[insertion] Col. 35 thru 42, code 12  Col. 43 code 0  Col. 44 code 12  [/insertion] i would like to have one of their trucks if i could get one after the war   "
"83",82,"15903964","2521127-37-0237.jpg","A document that contains Q.85","I would like to know why do you'll have to put a restriction on a E.M. for wearing a  cap  any other thing he would was to look like a soldier in As long as it have the same color   there  is no A.R. [army regulations] against such uniforms it is possible for a soldier to get better  in the company he is now serving in? I think treating the soldier a little better than you'll have been doing it would build his moral up and make him feel that he is being treated like a soldier, but at the mean time he is being treated like a prison even the prisoner of war get a better break than a soldier so I wish you'll would push same bull to stating what a man shouldn't be restricted for in uniform because the ground rule is an bad deal for a soldier so please relax on the statement. "
"84",83,"15903978","2521127-37-0238.jpg","A document that contains Q.85","All I hope is that after this war things won't be like they were after World War I. "
"85",84,"15903988","2521127-37-0239.jpg","A document that contains Q.85","I do think the United State should do every thing in there power to make the familys happy That they have broken up during the war that was doing nicely and had no compliance. "
"86",85,"15904000","2521127-37-0240.jpg","A document that contains Q.85","I think all the boys should have jobs when they get out of the army. They are the one that did the job and they should get the breaks after the war. "
"87",86,"15904011","2521127-37-0241.jpg","A document that contains Q.85","I want to go back and home and live and work on a farm with my father.  "
"88",87,"15904026","2521127-37-0242.jpg","A document that contains Q.85","I only wish the colored soldier has the chance like the white soldiers "
"89",88,"15904039","2521127-37-0243.jpg","A document that contains Q.85","I feel that the older married men should be discharged immediately after the collapse of Germany then the inexperienced younger married men with families because there is already a rotation program which means that the experienced soldier will get a rest and to pit inexperienced men against experienced soldiers will be suicide. Also men with families would continue to work and work steadily which would be less burden for US "
"90",89,"15904059","2521127-37-0244.jpg","A document that contains Q.85","Men do not fight and are willfully for causes they are cynical about. I think it high time for the powers that be to realize that there can be no real democracy as long as the persecution of minority races and societies goes on. There will surely come a time when men will not be pacified with false promises, calmed with a fraze turned more over the faults both in Army Administration and the execution of some policies are to apparent to miss. (I am a negro) "
"91",90,"15904070","2521127-37-0245.jpg","A document that contains Q.85","I think the great problem of race and color equalization after the war should be greatly thought of after all, we are all fighting for the same thing (supposedly) and shells, gas, bombs ect don't seem to care what color a mans skin is when they fall on us. we are all standing a chance of losing our lives and I guarantee you to blood is the same color and runs the same regardless of whether the man is dark or light in skin. It all  fails  down to this. There is no distinction between classes of men on the field of battle. Why should there be in peace time? "
"92",91,"15904078","2521127-37-0246.jpg","A document that contains Q.85","Have an idea there will be a boom for about 5 years but after that the world will be in very poor state. Also don't see why the U.S. has to supply and build up the world at the expense of the american people, also police the world. Also think that the boys overseas after the war is over will have a hell of a time getting home. Also think getting discharged honorably from the army will be hard to get, due to the red tape. When war is over bring troops home as soon as possible. Send over newly drafted men over to replace all men that served for over 18 months in service (foreign or domestic) my main idea is to discharge all men that served 18 months or more in the service as soon as war is over - replace with draftees right from high school. "
"93",92,"15904091","2521127-37-0247.jpg","A document that contains Q.85","In regards to the army I would like to see them  practice what they preach, namely democracy. It's not bad up here in Mass, but when I was in VA. a member of my group was refused service at an ARMY service club even though he had just run for the ARMY, pressed for an answer the officer there said he had orders not to serve us. If we are fighting for the country why should the difference of  our colors make any differance when we ask for service in any part of the country. One other thing why isn't it that we have Negro officers as well as white, we have to fight to gether, suppose there is a change of officers over there, we have to  lease  our officers over  aresr  . After the war I hope the country as a whole will make the rule of looking at a man's ability and not at his color. Sect. of War Stimson said we don't have the educational ability to make good soldiers, but if they wished and had granted equal educational opportunities towards the colored group in the south where the majority of our sub-normal group is from, would they not be fairly educated. "
"94",93,"15904104","2521127-37-0248.jpg","A document that contains Q.85","Before coming to the Army I was told that every one would get equal chances to - they should practice what they preach  After the war regardless of race every one should have or get the same equal breaks such as jobs and most of all should stop discrimination as we have to do today to to back doors of resturant [restaurant] before we are served and most of the time are refused service because of race turned down from jobs regardless of educations and the ability  ????? to  thing should be changed after the war.   "
"95",94,"15904113","2521127-37-0249.jpg","A document that contains Q.85","There's very much Id like to say but space will not permit Since my coming into the Army Ive saw quite a few things which were hardly in harmony with the saccharine words that drip from the propaganda posters. Having been given the impression before entering that the army was just and unbiased and having been infantile enough to believe same, I received a rude shock when members of a particular unit of which I was a part were given most barbaric treatment. I have seen those persons bullied and cowed and then thrown into confinement. This the while the glib ""lyricists"" behind their lavish desks in Washington were pouring forth reams of pretty speeches on freedom, liberty, justice, et cetera, et cetera. They sounded quite incongruous to one who everyday witnessed in action the antithesis of everything that was being said. On the whole I find the  time Ive spend in the army to be the most disgusting, the most heart-sickening Ive ever spent.   "
"96",95,"15904125","2521127-37-0250.jpg","A document that contains Q.85","It's really a pity that I can do no more than blow my top. It's so seldom that anyone asks me just how I feel about the service. Now that I have the chance I shall knock myself out. I realize fully however that all I might ever say about it is as futile, as inane as trying to drive up the sea. What really puzzles me most of all is how the powers that be can continually harp on injustice and bigotry and intolerance abroad and yet lift not even the little finger to annihilate the same in their very midst. Are they trying to fool themselves or me? Right in our own army are many many practices running rife while we are allegedly fighting to destroy the same practices in other countries. Evidently charity does not begin at home. Perhaps the policy of minding one's own business has changed to that of minding everyone else's business and then, if there's any time left, minding one's own. Could it be? Finis "
"97",96,"15904142","2521127-37-0251.jpg","A document that contains Q.85","Hell I think when us boys come home for good all the [cilyivant]  will pretty well have jobs taken and it may not be no place for us to work and that means the soup line "
"98",97,"15904156","2521127-37-0252.jpg","A document that contains Q.85","I would love to see the G.I. Bill of Rights carried out, I would like a chance for jobs after the war regardless of race or color. I would like peace in the U.S. and true Democracy practiced through out the United States and country as a whole. This is the country we are offering our lives for, why can't we live in peace., as we are fighting for one cause, a true Democracy. "
"99",98,"15904171","2521127-37-0253.jpg","A document that contains Q.85"," Conditions in the United States will have to change more dramatically to prevent internal strife. People should educate themselves to meet the problems that will arise from the young master minds in the making. "
